MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Supply (Max),Features,Operating Temperature,Output,Resolution (Bits),Series,Voltage - Supply
20025700-00,TE Connectivity Measurement Specialties,TWO COLOR DETECTOR TO5I (EXT. LI,ambient-light-sensors,0,216.293,-,,Active,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/20025700-00/27555640,,,,,,,
ADJD-E622-QR999,Broadcom Limited,COLOR SENSOR VOLTAGE/RGB 16-VQFN,ambient-light-sensors,0,0.0,16-VQFN Exposed Pad,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1109/ADJD-E622-QR999.pdf,https://www.digikey.com/en/products/detail/broadcom-limited/ADJD-E622-QR999/1234446,2.4mA @ 5V,,0°C ~ 70°C,"Voltage, RGB",,,4.5 V ~ 5.5 V
ADJD-J823,Broadcom Limited,COLOR SENSOR I2C 12-B 16-VDFN,ambient-light-sensors,0,0.0,16-VDFN Exposed Pad,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/860/ADJD-J823.pdf,https://www.digikey.com/en/products/detail/broadcom-limited/ADJD-J823/1234447,14mA @ 2.6V,,25°C ~ 70°C,I2C,12 b,,2.5 V ~ 3.6 V
ADJD-S311-CR999,Broadcom Limited,COLOR SENSOR I2C 10-B 9-VBGA,ambient-light-sensors,0,0.0,9-VBGA,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/384/ADJD-S311-CR999.pdf,https://www.digikey.com/en/products/detail/broadcom-limited/ADJD-S311-CR999/2210364,5mA @ 2.6V,Sleep Mode,0°C ~ 70°C,I2C,10 b,,2.5 V ~ 3.6 V
ADJD-S313-QR999,Broadcom Limited,COLOR SENSOR I2C 7-B 20-VFQFN,ambient-light-sensors,0,0.0,20-VFQFN Exposed Pad,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/883/ADJD-S313-QR999.pdf,https://www.digikey.com/en/products/detail/broadcom-limited/ADJD-S313-QR999/1234567,9.4mA @ 2.6V,Sleep Mode,0°C ~ 70°C,I2C,7 b,,2.5 V ~ 3.6 V
ADJD-S371-QR999,Broadcom Limited,COLOR SENSOR I2C 10-B 12-SMD,ambient-light-sensors,0,2.46168,12-SMD Module,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/517/ADJD-S371-QR999.pdf,https://www.digikey.com/en/products/detail/broadcom-limited/ADJD-S371-QR999/2210365,5mA @ 2.6V,Gain Control,0°C ~ 70°C,I2C,10 b,,2.5 V ~ 3.6 V
APS5130PD7C-P22,Kingbright,COLOR SENSOR CURRENT/RGB 4-SMD,ambient-light-sensors,2229,2.4,"4-SMD, No Lead",,Active,https://www.KingbrightUSA.com/images/catalog/SPEC/APS5130PD7C-P22.pdf,https://www.digikey.com/en/products/detail/kingbright/APS5130PD7C-P22/8591561,,,-40°C ~ 85°C,"Current, RGB",,,
AS72651-BLGM LGA20 LF T&RDP,ams-OSRAM USA INC.,COLOR SENSOR I2C/UART 16-B 20,ambient-light-sensors,0,0.0,20-BFLGA,,Obsolete,https://ams.com/documents/20143/36005/AS7265x_DS000612_1-00.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS72651-BLGM-LGA20-LF-T-RDP/10324193,,,-40°C ~ 85°C (TA),"I2C, UART",16 b,AS7265x,2.7 V ~ 3.6 V
AS72651-BLGT,ams-OSRAM USA INC.,COLOR SENSOR I2C/UART 16-B 20,ambient-light-sensors,11090,9.06,20-BFLGA,,Active,https://look.ams-osram.com/m/76ce4c0d80cd1565/original/AS7265x-DS000612.pdfhttps://look.ams-osram.com/m/11804d68e83a69fc/original/AS7265x-ES000127.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS72651-BLGT/7428279,,,-40°C ~ 85°C (TA),"I2C, UART",16 b,AS7265x,2.7 V ~ 3.6 V
AS72652-BLGT,ams-OSRAM USA INC.,COLOR SENSOR I2C/UART 16-B 20,ambient-light-sensors,3851,9.06,20-BFLGA,,Active,https://look.ams-osram.com/m/76ce4c0d80cd1565/original/AS7265x-DS000612.pdfhttps://look.ams-osram.com/m/11804d68e83a69fc/original/AS7265x-ES000127.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS72652-BLGT/7428280,,,-40°C ~ 85°C (TA),"I2C, UART",16 b,AS7265x,2.7 V ~ 3.6 V
AS72653-BLGT,ams-OSRAM USA INC.,COLOR SENSOR I2C/UART 16-B 20,ambient-light-sensors,4144,9.06,20-BFLGA,,Active,https://look.ams-osram.com/m/76ce4c0d80cd1565/original/AS7265x-DS000612.pdfhttps://look.ams-osram.com/m/11804d68e83a69fc/original/AS7265x-ES000127.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS72653-BLGT/7428281,,,-40°C ~ 85°C (TA),"I2C, UART",16 b,AS7265x,2.7 V ~ 3.6 V
AS73210,ams-OSRAM USA INC.,COLOR SENSOR VOLTAGE/XYZ 16-VQFN,ambient-light-sensors,0,0.0,16-VQFN Exposed Pad,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2295/AS73210_6-2-17.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS73210/7793932,,,-20°C ~ 100°C,"Voltage, XYZ",,,2.5 V ~ 5 V
AS73211,ams-OSRAM USA INC.,COLOR SENSOR I2C 24-B 16-VQFN,ambient-light-sensors,0,0.0,16-VQFN Exposed Pad,,Obsolete,,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS73211/14645524,2mA @ 3.3V,,-40°C ~ 125°C,I2C,24 b,,2.7 V ~ 3.6 V
AS73211-AQFM QFN16 T&RDP,ams-OSRAM USA INC.,COLOR SENSOR I2C 24-B 16-VQFN,ambient-light-sensors,0,0.0,16-VQFN Exposed Pad,,Obsolete,https://ams.com/documents/20143/36005/AS73211_DS000556_3-01.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS73211-AQFM-QFN16-T-RDP/10324383,2mA @ 3.3V,,-40°C ~ 125°C,I2C,24 b,,2.7 V ~ 3.6 V
AS73211-AQFT,ams-OSRAM USA INC.,COLOR SENSOR I2C 24-B 16-VQFN,ambient-light-sensors,0,0.0,16-VQFN Exposed Pad,,Obsolete,https://look.ams-osram.com/m/5857e141491e2d12/original/AS73211-DS000556.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS73211-AQFT/7802175,2mA @ 3.3V,,-40°C ~ 125°C,I2C,24 b,,2.7 V ~ 3.6 V
AS7341-DLGM,ams-OSRAM USA INC.,COLOR SENSOR I2C 16-B 8-TFLGA,ambient-light-sensors,8414,7.95,8-TFLGA,,Not For New Designs,https://look.ams-osram.com/m/24266a3e584de4db/original/AS7341-DS000504.pdf,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS7341-DLGM/9996230,210µA,,-30°C ~ 70°C,I2C,16 b,,1.7 V ~ 2 V
BH1745NUC-E2,Rohm Semiconductor,COLOR SENSOR I2C 8-UDFN,ambient-light-sensors,0,1.62,8-UDFN Exposed Pad,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1785/BH1745NUC.pdf,https://www.digikey.com/en/products/detail/rohm-semiconductor/BH1745NUC-E2/5087338,260µA @ 2.5V,Standby,-40°C ~ 85°C,I2C,,,2.3 V ~ 3.6 V
BH1747NUC-E2,Rohm Semiconductor,COLOR SENSOR 16-B 8-UFDFN,ambient-light-sensors,0,1.12367,8-UFDFN Exposed Pad,,Obsolete,https://d1d2qsbl8m0m72.cloudfront.net/en/products/databook/catalog/common/sf/SFC2019_E_Allpage.pdf,https://www.digikey.com/en/products/detail/rohm-semiconductor/BH1747NUC-E2/7899965,295µA,,-40°C ~ 85°C,,16 b,,2.3 V ~ 3.6 V
BH1749NUC-E2,Rohm Semiconductor,COLOR SENSOR I2C 16-B 8-UFDFN,ambient-light-sensors,0,1.47643,8-UFDFN Exposed Pad,,Obsolete,https://fscdn.rohm.com/en/products/databook/datasheet/ic/sensor/light/bh1749nuc-e.pdf,https://www.digikey.com/en/products/detail/rohm-semiconductor/BH1749NUC-E2/7931116,295µA,,-40°C ~ 85°C,I2C,16 b,,2.3 V ~ 3.6 V
BU27006MUC-ZTR,Rohm Semiconductor,COLOR SENSOR I2C 16-B 12,ambient-light-sensors,358,2.55,12-UFQFN,,Obsolete,https://www.rohm.com/datasheet?p=BU27006MUC-Z&dist=Digi-key&media=referral&source=digi-key.com&campaign=Digi-key,https://www.digikey.com/en/products/detail/rohm-semiconductor/BU27006MUC-ZTR/15851670,310µA @ 1.8V,,-40°C ~ 85°C,I2C,16 b,,1.7 V ~ 3.6 V
CLS-16D24-44-DF8/TR8,Everlight Electronics Co Ltd,COLOR SENSOR I2C 16-B 8-SMD,ambient-light-sensors,3446,1.35,"8-SMD, No Lead",,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4352/CLS-16D24-44-DF8-TR8_Ver.5_9-7-20.pdf,https://www.digikey.com/en/products/detail/everlight-electronics-co-ltd/CLS-16D24-44-DF8-TR8/15286664,210µA,,-40°C ~ 65°C,I2C,16 b,,2.4 V ~ 3.6 V
CW-10P,Tri-Tronics Co. Inc.,Colorwise Color Sensor,ambient-light-sensors,97,364.62,-,,Active,https://www.ttco.com/media/pdf/Sensors/datasheets/CW10_Color&RegistrationMark_Sensor_Series_Datasheet.pdf,https://www.digikey.com/en/products/detail/tri-tronics-co-inc/CW-10P/26799630,,,,,,*,
CW10-N,Tri-Tronics Co. Inc.,COLOR SEN COLORWISE NPN BOX,ambient-light-sensors,100,364.62,Box,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6469/CW10%20Datasheet%20Rev%20A.pdf,https://www.digikey.com/en/products/detail/tri-tronics-co-inc/CW10-N/25811648,100mA @ 12V ~ 24V,,-10°C ~ 55°C,NPN,,,
DK-LED-001,"DK SENSOR CO.,LTD","LED LIGHT ASM.5 BLUE, L=400",ambient-light-sensors,300,3.0,-,,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6791/6069_DK-LED-001.pdf,https://www.digikey.com/en/products/detail/dk-sensor-co-ltd/DK-LED-001/26282721,,Low Power Consumption,-30°C ~ 85°C,,,*,
