MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Output (Max),Fault Protection,Features,Grade,Input Type,Interface,Number of Outputs,Operating Temperature,Output Configuration,Output Type,Qualification,Ratio - Input:Output,Rds On (Typ),Series,Switch Type,Voltage - Load,Voltage - Supply (Vcc/Vdd)
A2550KLPTR-T,Allegro MicroSystems,IC PWR DRIVER N-CHAN 1:1 16TSSOP,pmic-battery-management,7140,2.62,"16-TSSOP (0.173"", 4.40mm Width) Exposed Pad",Surface Mount,Not For New Designs,,https://www.digikey.com/en/products/detail/allegro-microsystems/A2550KLPTR-T/1284586,200mA,"Current Limiting (Fixed), Over Temperature","5V Regulated Output, Status Flag",,Non-Inverting,On/Off,3,-40°C ~ 125°C (TA),Low Side,N-Channel,,1:1,5Ohm,,"Relay, Solenoid Driver",7V ~ 40V,
A2982SLWTR-T,Allegro MicroSystems,IC PWR DRIVER BIPOLAR 1:1 20SOIC,pmic-battery-management,1548,2.57,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Not For New Designs,,https://www.digikey.com/en/products/detail/allegro-microsystems/A2982SLWTR-T/1006100,500mA,,,,Non-Inverting,On/Off,8,-20°C ~ 85°C (TA),High Side,Bipolar,,1:1,,,General Purpose,5V ~ 50V,Not Required
AAT4601IAS-T1,Skyworks Solutions Inc.,"USB 1-CH PWR SW, SO-8TR",pmic-battery-management,0,0.07577,-,-,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/403/AAT4601.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/AAT4601IAS-T1/9653051,,,,,,,,,,,,,,*,,,
AAT4616IPS-1-T1,Skyworks Solutions Inc.,IC PWR SWITCH P-CHAN 1:1 8TDFN,pmic-battery-management,0,0.44117,8-VFDFN Exposed Pad,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/855/AAT4616.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/AAT4616IPS-1-T1/4753053,2A,"Current Limiting (Adjustable), Over Temperature, Reverse Current, UVLO",Status Flag,,Non-Inverting,On/Off,1,-40°C ~ 85°C (TA),High Side,P-Channel,,1:1,130mOhm,,General Purpose,2.4V ~ 5.5V,Not Required
AAT4702IXS-T1,Skyworks Solutions Inc.,CURRENT LIMIT LOAD SWITCH PLUS L,pmic-battery-management,0,0.0525,-,-,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/402/AAT4702.pdf,https://www.digikey.com/en/products/detail/skyworks-solutions-inc/AAT4702IXS-T1/9653038,,,,,,,,,,,,,,*,,,
ADP1196ACBZ-02-R7,Analog Devices Inc.,IC PWR SWITCH N-CHAN 1:1 6WLCSP,pmic-battery-management,6218,2.07,"6-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP1196.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP1196ACBZ-02-R7/4901203,3A,"Current Limiting (Fixed), Over Temperature",Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 105°C (TJ),High Side or Low Side,N-Channel,,1:1,10mOhm,,General Purpose,1.83V ~ 5.5V,Not Required
ADP1290ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH N-CHAN 1:1 6WLCSP,pmic-battery-management,1822,2.9,"6-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP1290.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP1290ACBZ-R7/5170728,2A,,,,,On/Off,1,-40°C ~ 105°C (TJ),High Side,N-Channel,,1:1,40mOhm,,General Purpose,2.3V ~ 13.2V,Not Required
ADP190ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,0,1.33,"4-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP190_191.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP190ACBZ-R7/2027867,500mA,,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,80mOhm,,General Purpose,1.1V ~ 3.6V,Not Required
ADP191ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,23540,1.28,"4-WFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP190_191.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP191ACBZ-R7/2264656,500mA,,"Load Discharge, Slew Rate Controlled",,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,80mOhm,,General Purpose,1.1V ~ 3.6V,Not Required
ADP194ACBZ-R7,Analog Devices Inc.,IC PWR SWITCH P-CHAN 1:1 4WLCSP,pmic-battery-management,5877,1.28,"4-UFBGA, WLCSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADP194.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP194ACBZ-R7/2690039,500mA,Reverse Current,Slew Rate Controlled,,Non-Inverting,On/Off,1,-40°C ~ 125°C (TJ),High Side,P-Channel,,1:1,55mOhm,,General Purpose,1.1V ~ 3.6V,Not Required
