MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Grade,Logic Type,Number of Bits,Operating Temperature,Qualification,Series,Supply Voltage
100179DC,National Semiconductor,IC LOOK CARRY GENTR 4BIT 24-CDIP,clock-timing-programmable-timers-oscillators,907,5.71,"24-CDIP (0.600"", 15.24mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/n5zhrvmkkg/NATLS21977-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100179DC/12100548,,Look-ahead Carry Generator,4,0°C ~ 85°C,,,-4.2V ~ -5.7V
100179J-MIL,National Semiconductor,IC LOOK CARRY GENTR 4BIT 24-CDIP,clock-timing-programmable-timers-oscillators,851,22.2,"24-CDIP (0.600"", 15.24mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/n5zhrvmkkg/NATLS21977-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100179J-MIL/12593385,,Look-ahead Carry Generator,4,0°C ~ 85°C,,,-4.2V ~ -5.7V
100179W-MIL,National Semiconductor,IC LOOK CARRY GENTR 4BIT 24-CDIP,clock-timing-programmable-timers-oscillators,754,23.85,24-CDIP,Through Hole,Active,https://rocelec.widen.net/view/pdf/n5zhrvmkkg/NATLS21977-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100179W-MIL/12601019,,Look-ahead Carry Generator,4,0°C ~ 85°C,,,-4.2V ~ -5.7V
100181DC,National Semiconductor,IC ARITH LOGIC UNIT 4BIT 24CDIP,clock-timing-programmable-timers-oscillators,957,117.65,"24-CDIP (0.600"", 15.24mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/ny5qzmxzl4/NATLS21975-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100181DC/12100198,,Arithmetic Logic Unit,4,0°C ~ 85°C,,,-4.2V ~ -5.7V
100181DCQR,National Semiconductor,IC ARITH LOGIC UNIT 4BIT 24CDIP,clock-timing-programmable-timers-oscillators,642,10.1,"24-CDIP (0.600"", 15.24mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/ny5qzmxzl4/NATLS21975-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100181DCQR/12099859,,Arithmetic Logic Unit,4,0°C ~ 85°C,,,-4.2V ~ -5.7V
100181FC,National Semiconductor,IC ARITH LOGIC UNIT 4BIT 24CFTPK,clock-timing-programmable-timers-oscillators,265,92.99,-,Surface Mount,Active,https://rocelec.widen.net/view/pdf/ny5qzmxzl4/NATLS21975-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100181FC/12101407,,Arithmetic Logic Unit,4,0°C ~ 85°C,,,-4.2V ~ -5.7V
100182DC,National Semiconductor,IC WALLACE TREE ADDR 9BIT 24CDIP,clock-timing-programmable-timers-oscillators,170,117.65,"24-CDIP (0.600"", 15.24mm)",Through Hole,Obsolete,https://rocelec.widen.net/view/pdf/o69vbzzmty/NATLS21974-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100182DC/12101168,,Wallace Tree Adder,9,0°C ~ 85°C,,,-4.2V ~ -5.7V
100182FC,"Rochester Electronics, LLC","ADD/SUBTRACT, 100K SERIES, 1-BIT",clock-timing-programmable-timers-oscillators,128,92.99,-,-,Active,https://rocelec.widen.net/view/pdf/mxqrucv9hi/RSELS20564-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100182FC/12604313,,,,,,*,
100LVEL16M,Fairchild Semiconductor,IC DIFFERENTIAL RX 1BIT 8-SOIC,clock-timing-programmable-timers-oscillators,11505,6.99,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/mnmrcbk9wu/FAIRS20130-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100LVEL16M/11523457,,Differential Receiver,1,-40°C ~ 85°C,,100LVEL,3V ~ 3.8V
100LVEL16MX,onsemi,IC DIFFERENTIAL RX 1BIT 8-SOIC,clock-timing-programmable-timers-oscillators,0,2.9625,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/900/100LVEL16.pdf,https://www.digikey.com/en/products/detail/onsemi/100LVEL16MX/975245,,Differential Receiver,1,-40°C ~ 85°C,,100LVEL,3V ~ 3.8V
4007A/BCA,"Rochester Electronics, LLC",DUAL MARKED (M38510/05301BCA),clock-timing-programmable-timers-oscillators,603,92.99,-,-,Active,https://rocelec.widen.net/view/pdf/bgvmd10pxx/RE_DSHEET_4007ABCA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4007A-BCA/12608640,,,,,,*,
4007UBDC,National Semiconductor,IC COMPL PAIR W/INV 3BIT 14-CDIP,clock-timing-programmable-timers-oscillators,1890,0.4,"14-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/tqv6uexw4d/FAIRS32757-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4007UBDC/12101568,,Complementary Pair Plus Inverter,3,0°C ~ 70°C,,4007UB,
4007UBDM,National Semiconductor,IC COMPL PAIR W/INV 3BIT 14-CDIP,clock-timing-programmable-timers-oscillators,12198,0.4,"14-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/tqv6uexw4d/FAIRS32757-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4007UBDM/12102294,,Complementary Pair Plus Inverter,3,-55°C ~ 125°C,,4007UB,
4008BDC,National Semiconductor,IC FULL ADDER 4BIT 16-CDIP,clock-timing-programmable-timers-oscillators,3633,1.06,16-CDIP,Through Hole,Active,https://rocelec.widen.net/view/pdf/up1ceoiy7f/FAIRS32759-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4008BDC/12102382,,Full Adder,4,,,4008B,5V ~ 15V
5482J/B,"Rochester Electronics, LLC",2-BIT BINARY FULL ADDERS,clock-timing-programmable-timers-oscillators,68,90.48,-,-,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7138/2156_FAIRS32950-1.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5482J-B/12594941,,,,,,*,
5482W/R LF,"Rochester Electronics, LLC",5482W/R  LF,clock-timing-programmable-timers-oscillators,26,67.76,-,-,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7138/2156_FAIRS32950-1.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5482W-R-LF/12710308,,,,,,*,
54F182LMQB,National Semiconductor,IC LOOK CARRY GENTR 4BIT 20-LCCC,clock-timing-programmable-timers-oscillators,62,8.35,20-CLCC,Surface Mount,Active,https://rocelec.widen.net/view/pdf/in52gp4gcs/NATLS12468-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F182LMQB/12124929,,Look-ahead Carry Generator,4,-55°C ~ 125°C,,54F,4.5V ~ 5.5V
54F381ADM/B,"Rochester Electronics, LLC",ALU/FUNCTION GENERATOR,clock-timing-programmable-timers-oscillators,258,101.4,-,-,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/7138/2156_NATLD068-4-289.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54F381ADM-B/12599359,,,,,,*,
54LS183/BCA,"Rochester Electronics, LLC",DUAL MARKED (5962-9054101CA),clock-timing-programmable-timers-oscillators,750,104.03,-,-,Active,https://rocelec.widen.net/view/pdf/shtqtc0kps/RE_DSHEET_54LS183BCA-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS183-BCA/12617698,,,,,,*,
54LS183J,"Rochester Electronics, LLC",FULL ADDER; DUAL CARRY-SAVE,clock-timing-programmable-timers-oscillators,300,68.9,-,-,Active,https://rocelec.widen.net/view/pdf/ctyx6z3enq/RE_DSHEET_54LS183J-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS183J/12600287,,,,,,*,
54LS681J/B,"Rochester Electronics, LLC",ACCUMULATOR,clock-timing-programmable-timers-oscillators,1002,157.65,-,-,Active,https://rocelec.widen.net/view/pdf/bevy67s0wt/RE_DSHEET_54LS681JB-ROCV.pdf?t.download=true&u=h6ohhb,https://www.digikey.com/en/products/detail/rochester-electronics-llc/54LS681J-B/12710864,,,,,,*,
