MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Clock Frequency,Current - Output Source/Sink,DigiKey Programmable,Features,Grade,Interface,Interrupt Output,Number of I/O,Number of Outputs,Operating Temperature,Output Type,Qualification,Series,Voltage - Input,Voltage - Output,Voltage - Supply
15099,SparkFun Electronics,IC XPNDR 1.7MHZ I2C 18DIP,pmic-voltage-regulators-dc-dc-switching-regulators,0,2.54,"18-DIP (0.300"", 7.62mm)",Through Hole,Active,,https://www.digikey.com/en/products/detail/sparkfun-electronics/15099/17829724,,1.7 MHz,3mA,Not Verified,POR,,I2C,Yes,8,,,Open Drain,,,,,1.8V ~ 5.5V
89HPES12T3G2ZABCI8,Renesas Electronics Corporation,89HPES12T3G2ZABCI8,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES12T3G2ZABCI8/21279008,,,,,,,,,,,,,,,,,
89HPES16T4G2ZABXI8,Renesas Electronics Corporation,89HPES16T4G2ZABXI8,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES16T4G2ZABXI8/21278962,,,,,,,,,,,,,,,,,
89HPES16T4ZHBCGI,Renesas Electronics Corporation,89HPES16T4ZHBCGI,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES16T4ZHBCGI/21279043,,,,,,,,,,,,,,,,,
89HPES16T4ZHBCGI8,Renesas Electronics Corporation,89HPES16T4ZHBCGI8,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES16T4ZHBCGI8/21279080,,,,,,,,,,,,,,,,,
89HPES16T4ZHBCI,Renesas Electronics Corporation,89HPES16T4ZHBCI,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES16T4ZHBCI/21279070,,,,,,,,,,,,,,,,,
89HPES16T4ZHBCI8,Renesas Electronics Corporation,89HPES16T4ZHBCI8,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES16T4ZHBCI8/21279166,,,,,,,,,,,,,,,,,
89HPES16T7ZHBXI,Renesas Electronics Corporation,89HPES16T7ZHBXI,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES16T7ZHBXI/21278977,,,,,,,,,,,,,,,,,
89HPES22T16ZABLI,Renesas Electronics Corporation,89HPES22T16ZABLI,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES22T16ZABLI/21279059,,,,,,,,,,,,,,,,,
89HPES24N3AZCBXGI,Renesas Electronics Corporation,89HPES24N3AZCBXGI,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES24N3AZCBXGI/21278983,,,,,,,,,,,,,,,,,
89HPES24N3AZCBXI,Renesas Electronics Corporation,89HPES24N3AZCBXI,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES24N3AZCBXI/21279095,,,,,,,,,,,,,,,,,
89HPES24N3AZGBXGI,Renesas Electronics Corporation,89HPES24N3AZGBXGI,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES24N3AZGBXGI/21279054,,,,,,,,,,,,,,,,,
89HPES24N3AZGBXI,Renesas Electronics Corporation,89HPES24N3AZGBXI,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES24N3AZGBXI/21278966,,,,,,,,,,,,,,,,,
89HPES24T3G2ZCBL8,Renesas Electronics Corporation,89HPES24T3G2ZCBL8,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES24T3G2ZCBL8/21279170,,,,,,,,,,,,,,,,,
89HPES24T3G2ZCBLG8,Renesas Electronics Corporation,89HPES24T3G2ZCBLG8,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES24T3G2ZCBLG8/21279002,,,,,,,,,,,,,,,,,
89HPES24T3G2ZCBLI8,Renesas Electronics Corporation,89HPES24T3G2ZCBLI8,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES24T3G2ZCBLI8/21279172,,,,,,,,,,,,,,,,,
89HPES24T6ZABX,Renesas Electronics Corporation,89HPES24T6ZABX,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES24T6ZABX/21279006,,,,,,,,,,,,,,,,,
89HPES24T6ZCBXGI,Renesas Electronics Corporation,89HPES24T6ZCBXGI,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES24T6ZCBXGI/21279116,,,,,,,,,,,,,,,,,
89HPES24T6ZCBXI,Renesas Electronics Corporation,89HPES24T6ZCBXI,pmic-voltage-regulators-dc-dc-switching-regulators,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/89HPES24T6ZCBXI/21279154,,,,,,,,,,,,,,,,,
