MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Filter Order,Filter Type,Frequency - Cutoff or Center,Grade,Number of Filters,Qualification,Series,Voltage - Supply
32F8103-CN,Texas Instruments,CONTINUOUS TIME FILTER,pmic-led-drivers,2240,4.64,-,-,Active,https://rocelec.widen.net/view/pdf/koc79hgcau/SISYD004-4-33.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/32F8103-CN/12095409,,,,,,,*,
32F8120-CL,Texas Instruments,CONTINUOUS TIME FILTER,pmic-led-drivers,1369,6.04,-,-,Active,https://rocelec.widen.net/view/pdf/rbzhyhbaxn/SISYD005-8-33.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/32F8120-CL/12095028,,,,,,,*,
32F8120-CLR,Texas Instruments,FLTR EQUIRIPPLE,pmic-led-drivers,960,4.03,-,-,Active,https://rocelec.widen.net/view/pdf/rbzhyhbaxn/SISYD005-8-33.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/32F8120-CLR/12094599,,,,,,,*,
32F8130-CL,Texas Instruments,CONTINUOUS TIME FILTER,pmic-led-drivers,1249,4.03,-,-,Active,https://rocelec.widen.net/view/pdf/zialknvhep/SISYD005-8-41.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/32F8130-CL/12094880,,,,,,,*,
ACPL-0873-500E,Broadcom Limited,IC FILTER DIGITAL 20QFN,pmic-led-drivers,0,3.16,20-VQFN Exposed Pad,Surface Mount,Last Time Buy,,https://www.digikey.com/en/products/detail/broadcom-limited/ACPL-0873-500E/9740384,3rd,Digital,,,3,,,3V ~ 5.5V
ACPL-0873T-500E,Broadcom Limited,ACPL-0873T-500E: AUTO DIGITAL IC,pmic-led-drivers,2580,3.22,20-VQFN Exposed Pad,Surface Mount,Last Time Buy,,https://www.digikey.com/en/products/detail/broadcom-limited/ACPL-0873T-500E/10716500,3rd,Digital,25MHz,,3,,,3V ~ 5.5V
ADA4424-6ARUZ,Analog Devices Inc.,IC FILTER SD/ED/HD 38TSSOP,pmic-led-drivers,0,2.97648,"38-TFSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADA4424-6.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADA4424-6ARUZ/2237643,5th,SD/ED/HD,,,6,,,"3.3V, 5V"
ADA4424-6ARUZ-R7,Analog Devices Inc.,IC FILTER SD/ED/HD 38TSSOP,pmic-led-drivers,0,2.80667,"38-TFSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADA4424-6.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADA4424-6ARUZ-R7/2261099,5th,SD/ED/HD,,,6,,,"3.3V, 5V"
ADA4424-6ARUZ-RL,Analog Devices Inc.,IC FILTER SD/ED/HD 38TSSOP,pmic-led-drivers,0,2.72573,"38-TFSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADA4424-6.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADA4424-6ARUZ-RL/2261095,5th,SD/ED/HD,,,6,,,"3.3V, 5V"
ADMV8416ACPZ,Analog Devices Inc.,8 TO 16 GHZ TUNABLE BPF,pmic-led-drivers,249,197.07,"40-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADMV8416.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADMV8416ACPZ/10669038,,Band Pass,7GHz ~ 16GHz,,1,,,5.5V
ADMV8416ACPZ-R5,Analog Devices Inc.,8 TO 16 GHZ TUNABLE BPF,pmic-led-drivers,0,146.5204,"40-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADMV8416.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADMV8416ACPZ-R5/10669037,,Band Pass,7GHz ~ 16GHz,,1,,,5.5V
ADMV8420ACPZ,Analog Devices Inc.,10 TO 20 GHZ TUNABLE BPF,pmic-led-drivers,528,205.53,"24-WFQFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADMV8420.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADMV8420ACPZ/10669034,,Band Pass,11GHz ~ 20GHz,,1,,,
