MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Access Time,Clock Frequency,DigiKey Programmable,Grade,Memory Format,Memory Interface,Memory Organization,Memory Size,Memory Type,Operating Temperature,Qualification,Series,Technology,Voltage - Supply,"Write Cycle Time - Word, Page"
11AA010T-I/TT,Microchip Technology,IC EEPROM 1KBIT SGL WIRE SOT23-3,memory,2269,0.28,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/22067J.pdf,https://www.digikey.com/en/products/detail/microchip-technology/11AA010T-I-TT/2059589,,100 kHz,Not Verified,,EEPROM,Single Wire,128 x 8,1Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.8V ~ 5.5V,5ms
11AA02E48T-I/TT,Microchip Technology,IC EEPROM 2KBIT SGL WIRE SOT23-3,memory,10639,0.44,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/11AA02E48-11AA02E64-2K-UNIO-Serial-EEPROMs-Data-Sheet-20002122E.pdf,https://www.digikey.com/en/products/detail/microchip-technology/11AA02E48T-I-TT/2059590,,100 kHz,Not Verified,,EEPROM,Single Wire,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.8V ~ 5.5V,5ms
11AA160T-I/TT,Microchip Technology,IC EEPROM 16KBIT SGL WIRE SOT23,memory,7632,0.37,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/22067J.pdf,https://www.digikey.com/en/products/detail/microchip-technology/11AA160T-I-TT/1851330,,100 kHz,Not Verified,,EEPROM,Single Wire,2K x 8,16Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.8V ~ 5.5V,5ms
11LC010T-I/TT,Microchip Technology,IC EEPROM 1KBIT SGL WIRE SOT23-3,memory,4990,0.28,"TO-236-3, SC-59, SOT-23-3",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/22067J.pdf,https://www.digikey.com/en/products/detail/microchip-technology/11LC010T-I-TT/2059591,,100 kHz,Not Verified,,EEPROM,Single Wire,128 x 8,1Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,2.5V ~ 5.5V,5ms
24AA01T-I/LT,Microchip Technology,IC EEPROM 1KBIT I2C SC70-5,memory,4731,0.32,"5-TSSOP, SC-70-5, SOT-353",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA01-24LC01B-24FC01-1K-I2C-Serial-EEPROM-20001711M.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA01T-I-LT/2059597,3500 ns,400 kHz,Not Verified,,EEPROM,I2C,128 x 8,1Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA01T-I/OT,Microchip Technology,IC EEPROM 1KBIT I2C SOT23-5,memory,64264,0.28,"SC-74A, SOT-753",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA01-24LC01B-24FC01-1K-I2C-Serial-EEPROM-20001711M.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA01T-I-OT/468413,3500 ns,400 kHz,Verified,,EEPROM,I2C,128 x 8,1Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA02-I/SN,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8SOIC,memory,1551,0.31,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/24AA02-24LC02B-24FC02-2K-I2C-Serial-EEPROM-20001709N.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA02-I-SN/318544,900 ns,400 kHz,Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA024T-I/MNY,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8TDFN,memory,9006,0.41,8-WFDFN Exposed Pad,Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/24AA024-24LC024-24AA025-24LC025-2-Kbit-I2C-Serial-EEPROM-DS20001210.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA024T-I-MNY/2765512,900 ns,400 kHz,Not Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA024T-I/MS,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8MSOP,memory,2450,0.41,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/24AA024-24LC024-24AA025-24LC025-2-Kbit-I2C-Serial-EEPROM-DS20001210.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA024T-I-MS/572955,900 ns,400 kHz,Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
24AA024T-I/SN,Microchip Technology,IC EEPROM 2KBIT I2C 400KHZ 8SOIC,memory,4317,0.37,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/24AA024-24LC024-24AA025-24LC025-2-Kbit-I2C-Serial-EEPROM-DS20001210.pdf,https://www.digikey.com/en/products/detail/microchip-technology/24AA024T-I-SN/458453,900 ns,400 kHz,Verified,,EEPROM,I2C,256 x 8,2Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,EEPROM,1.7V ~ 5.5V,5ms
