MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Access Time,Clock Frequency,DigiKey Programmable,Grade,Memory Format,Memory Interface,Memory Organization,Memory Size,Memory Type,Operating Temperature,Qualification,Series,Technology,Voltage - Supply,"Write Cycle Time - Word, Page"
47L04-I/SN,Microchip Technology,IC EERAM 4KBIT I2C 1MHZ 8SOIC,memory,2754,0.69,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/47L04-47C04-47L16-47C16-4-Kbit-16-Kbit-I2C-Serial-EERAM-20005371E.pdf,https://www.digikey.com/en/products/detail/microchip-technology/47L04-I-SN/6236463,400 ns,1 MHz,Not Verified,,EERAM,I2C,512 x 8,4Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,"EEPROM, SRAM",2.7V ~ 3.6V,1ms
47L16-I/P,Microchip Technology,IC EERAM 16KBIT I2C 1MHZ 8DIP,memory,216,1.02,"8-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/47L04-47C04-47L16-47C16-4-Kbit-16-Kbit-I2C-Serial-EERAM-20005371E.pdf,https://www.digikey.com/en/products/detail/microchip-technology/47L16-I-P/6098089,400 ns,1 MHz,Not Verified,,EERAM,I2C,2K x 8,16Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,"EEPROM, SRAM",2.7V ~ 3.6V,1ms
47L16-I/SN,Microchip Technology,IC EERAM 16KBIT I2C 1MHZ 8SOIC,memory,4209,0.81,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/47L04-47C04-47L16-47C16-4-Kbit-16-Kbit-I2C-Serial-EERAM-20005371E.pdf,https://www.digikey.com/en/products/detail/microchip-technology/47L16-I-SN/6098090,400 ns,1 MHz,Not Verified,,EERAM,I2C,2K x 8,16Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,"EEPROM, SRAM",2.7V ~ 3.6V,1ms
47L16T-I/SN,Microchip Technology,IC EERAM 16KBIT I2C 1MHZ 8SOIC,memory,9439,0.89,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/47L04-47C04-47L16-47C16-4-Kbit-16-Kbit-I2C-Serial-EERAM-20005371E.pdf,https://www.digikey.com/en/products/detail/microchip-technology/47L16T-I-SN/6055430,400 ns,1 MHz,Not Verified,,EERAM,I2C,2K x 8,16Kbit,Non-Volatile,-40°C ~ 85°C (TA),,,"EEPROM, SRAM",2.7V ~ 3.6V,1ms
AS29CF010-55CCIN,"Alliance Memory, Inc.",IC FLSH 1MBIT PARALLEL 32PLCC,memory,1092,11.75,32-LCC (J-Lead),Surface Mount,Active,https://www.alliancememory.com/wp-content/uploads/AllianceMemory_1Mb-128Kx8_5V_ParallelNORFlash_AS29CF010-55CCIN_July2019_V1.0.pdf,https://www.digikey.com/en/products/detail/alliance-memory-inc/AS29CF010-55CCIN/10821799,55 ns,,Not Verified,,FLASH,Parallel,128K x 8,1Mbit,Non-Volatile,-40°C ~ 85°C (TA),,,FLASH - NOR,4.5V ~ 5.5V,55ns
AS29CF040-55CCIN,"Alliance Memory, Inc.",IC FLSH 4MBIT PARALLEL 32PLCC,memory,596,14.96,32-LCC (J-Lead),Surface Mount,Active,https://www.alliancememory.com/wp-content/uploads/AllianceMemory_4Mb-512Kx8_5V_ParallelNORFlash_AS29CF040-55CCIN_July2019_V1.0.pdf,https://www.digikey.com/en/products/detail/alliance-memory-inc/AS29CF040-55CCIN/10821752,55 ns,,Not Verified,,FLASH,Parallel,512K x 8,4Mbit,Non-Volatile,-40°C ~ 85°C (TA),,,FLASH - NOR,4.5V ~ 5.5V,55ns
AS4C128M16D2A-25BCN,"Alliance Memory, Inc.",IC DRAM 2GBIT PARALLEL 84FBGA,memory,217,22.61,84-TFBGA,Surface Mount,Active,https://www.alliancememory.com/wp-content/uploads/2Gb20DDR220AS4C128M16D2A-25BCN2025BIN20Rev201.0-1.pdf,https://www.digikey.com/en/products/detail/alliance-memory-inc/AS4C128M16D2A-25BCN/5797355,,400 MHz,Not Verified,,DRAM,Parallel,128M x 16,2Gbit,Volatile,0°C ~ 85°C (TC),,,SDRAM - DDR2,1.7V ~ 1.9V,15ns
AS4C128M16D3LC-12BIN,"Alliance Memory, Inc.",IC DRAM 2GBIT PARALLEL 96FBGA,memory,3185,22.07,96-VFBGA,Surface Mount,Active,https://www.alliancememory.com/wp-content/uploads/AllianceMemory_2G_DDR3L_AS4C128M16D3LC-12BXN_February2020_v1.0.pdf,https://www.digikey.com/en/products/detail/alliance-memory-inc/AS4C128M16D3LC-12BIN/12686365,20 ns,800 MHz,Not Verified,,DRAM,Parallel,128M x 16,2Gbit,Volatile,-40°C ~ 95°C (TC),,,SDRAM - DDR3L,1.283V ~ 1.45V,15ns
AS4C128M8D2A-25BCN,"Alliance Memory, Inc.",IC DRAM 1GBIT PARALLEL 60FBGA,memory,264,12.64,60-TFBGA,Surface Mount,Active,https://www.alliancememory.com/wp-content/uploads/AllianceMemory_1G_DDR2_AS4C128M8D2A-25BCN-25BIN_Rev1.0_January2018.pdf,https://www.digikey.com/en/products/detail/alliance-memory-inc/AS4C128M8D2A-25BCN/7791367,400 ps,400 MHz,Not Verified,,DRAM,Parallel,128M x 8,1Gbit,Volatile,0°C ~ 85°C (TC),,,SDRAM - DDR2,1.7V ~ 1.9V,15ns
AS4C16M16SA-6BAN,"Alliance Memory, Inc.",IC DRAM 256MBIT PAR 54TFBGA,memory,10049,9.18,54-TFBGA,Surface Mount,Active,https://www.alliancememory.com/wp-content/uploads/256M-AS4C16M16SA-Automotive_v2.0_March-2015.pdf,https://www.digikey.com/en/products/detail/alliance-memory-inc/AS4C16M16SA-6BAN/5214125,5 ns,166 MHz,Not Verified,Automotive,DRAM,Parallel,16M x 16,256Mbit,Volatile,-40°C ~ 105°C (TA),AEC-Q100,,SDRAM,3V ~ 3.6V,12ns
