MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Access Time,Clock Frequency,DigiKey Programmable,Grade,Memory Format,Memory Interface,Memory Organization,Memory Size,Memory Type,Operating Temperature,Qualification,Series,Technology,Voltage - Supply,"Write Cycle Time - Word, Page"
23A1024-I/ST,Microchip Technology,IC SRAM 1MBIT SPI/QUAD 8TSSOP,memory,9127,2.6,"8-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/23A102423LC1024-1-Mbit-SPI-Serial-SRAM-with-SDI-SQI-Interface-20005142.pdf,https://www.digikey.com/en/products/detail/microchip-technology/23A1024-I-ST/3543082,,20 MHz,Not Verified,,SRAM,SPI - Quad I/O,128K x 8,1Mbit,Volatile,-40°C ~ 85°C (TA),,,SRAM,1.7V ~ 2.2V,
23AA02M-I/SN,Microchip Technology,IC SRAM 2MBIT SPI/QUAD 8SOIC,memory,251,3.1,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/23AA02M-23LCV02M-2-Mbit-SPI-SDI-SQI-143-Mhz-Serial-RAM-DS20006861.pdf,https://www.digikey.com/en/products/detail/microchip-technology/23AA02M-I-SN/22611656,7 ns,143 MHz,,,SRAM,SPI - Quad I/O,256K x 8,2Mbit,Volatile,-40°C ~ 85°C (TA),,,SRAM - Synchronous,1.7V ~ 3.6V,
23AA04M-I/SN,Microchip Technology,IC SRAM 4MBIT SPI/QUAD 8SOIC,memory,382,4.04,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/aemDocuments/documents/MPD/ProductDocuments/DataSheets/23AA04M-23LCV04M-4-Mbit-SPI-SDI-SQI-143-Mhz-Serial-RAM-DS20006862.pdf,https://www.digikey.com/en/products/detail/microchip-technology/23AA04M-I-SN/22611650,7 ns,143 MHz,,,SRAM,SPI - Quad I/O,512K x 8,4Mbit,Volatile,-40°C ~ 85°C (TA),,,SRAM - Synchronous,1.7V ~ 3.6V,
23K256-I/P,Microchip Technology,IC SRAM 256KBIT SPI 20MHZ 8DIP,memory,303,1.41,"8-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/22100F.pdf,https://www.digikey.com/en/products/detail/microchip-technology/23K256-I-P/2001112,,20 MHz,Not Verified,,SRAM,SPI,32K x 8,256Kbit,Volatile,-40°C ~ 85°C (TA),,,SRAM,2.7V ~ 3.6V,
23K256-I/SN,Microchip Technology,IC SRAM 256KBIT SPI 20MHZ 8SOIC,memory,3365,1.39,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/22100F.pdf,https://www.digikey.com/en/products/detail/microchip-technology/23K256-I-SN/2001113,,20 MHz,Not Verified,,SRAM,SPI,32K x 8,256Kbit,Volatile,-40°C ~ 85°C (TA),,,SRAM,2.7V ~ 3.6V,
23K256-I/ST,Microchip Technology,IC SRAM 256KBIT SPI 20MHZ 8TSSOP,memory,575,1.43,"8-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/22100F.pdf,https://www.digikey.com/en/products/detail/microchip-technology/23K256-I-ST/2001114,,20 MHz,Not Verified,,SRAM,SPI,32K x 8,256Kbit,Volatile,-40°C ~ 85°C (TA),,,SRAM,2.7V ~ 3.6V,
23K256T-I/SN,Microchip Technology,IC SRAM 256KBIT SPI 20MHZ 8SOIC,memory,4293,1.51,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/22100F.pdf,https://www.digikey.com/en/products/detail/microchip-technology/23K256T-I-SN/2001088,,20 MHz,Not Verified,,SRAM,SPI,32K x 8,256Kbit,Volatile,-40°C ~ 85°C (TA),,,SRAM,2.7V ~ 3.6V,
23K256T-I/ST,Microchip Technology,IC SRAM 256KBIT SPI 20MHZ 8TSSOP,memory,7144,1.56,"8-TSSOP (0.173"", 4.40mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/22100F.pdf,https://www.digikey.com/en/products/detail/microchip-technology/23K256T-I-ST/2001089,,20 MHz,Not Verified,,SRAM,SPI,32K x 8,256Kbit,Volatile,-40°C ~ 85°C (TA),,,SRAM,2.7V ~ 3.6V,
23LC1024-E/SN,Microchip Technology,IC SRAM 1MBIT SPI/QUAD 8SOIC,memory,11200,2.63,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,,https://www.digikey.com/en/products/detail/microchip-technology/23LC1024-E-SN/3597603,,16 MHz,Not Verified,,SRAM,SPI - Quad I/O,128K x 8,1Mbit,Volatile,-40°C ~ 125°C (TA),,,SRAM,2.5V ~ 5.5V,
23LC1024-I/P,Microchip Technology,IC SRAM 1MBIT SPI/QUAD 8DIP,memory,128,2.63,"8-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/20005142C.pdf,https://www.digikey.com/en/products/detail/microchip-technology/23LC1024-I-P/3543083,,20 MHz,Not Verified,,SRAM,SPI - Quad I/O,128K x 8,1Mbit,Volatile,-40°C ~ 85°C (TA),,,SRAM,2.5V ~ 5.5V,
