MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Count Rate,Direction,Grade,Logic Type,Number of Bits per Element,Number of Elements,Operating Temperature,Qualification,Reset,Series,Timing,Trigger Type,Voltage - Supply
100136DC,National Semiconductor,"BINARY COUNTER, 100K SERIES",pmic-gate-drivers,75,21.89,-,-,Active,https://rocelec.widen.net/view/pdf/nluk7yul0p/NATLS16344-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100136DC/12098401,,,,,,,,,,,,,
100136J-MIL,National Semiconductor,"BINARY COUNTER, 100K SERIES",pmic-gate-drivers,964,31.25,-,-,Active,https://rocelec.widen.net/view/pdf/nluk7yul0p/NATLS16344-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100136J-MIL/12098897,,,,,,,,,,,,,
11C05DM/B,"Rochester Electronics, LLC","PRESCALER, ECL SERIES",pmic-gate-drivers,784,159.19,-,-,Active,https://rocelec.widen.net/view/pdf/dddqhodeo1/RE_DSHEET_11C05DC_REI.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/11C05DM-B/12593738,,,,,,,,,,*,,,
11C90DM/B,"Rochester Electronics, LLC","PRESCALER, ECL SERIES",pmic-gate-drivers,2954,212.63,-,-,Active,https://rocelec.widen.net/view/pdf/bsz0wbqix8/11C90DMB-ROCV.pdf?t.download=true&u=axiww2,https://www.digikey.com/en/products/detail/rochester-electronics-llc/11C90DM-B/12593387,,,,,,,,,,*,,,
25LS2569DM/B,"Rochester Electronics, LLC",4BIT SYNC UP/DWN 3-STATE OUTPUTS,pmic-gate-drivers,189,156.3,-,-,Active,https://rocelec.widen.net/view/pdf/8eqodgqfsk/RE_DScover_AM25LS2568-69.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/25LS2569DM-B/12618368,,,,,,,,,,*,,,
25LS2569FM/B,"Rochester Electronics, LLC",4BIT SYNC UP/DWN 3-STATE OUTPUTS,pmic-gate-drivers,74,203.35,-,-,Active,https://rocelec.widen.net/view/pdf/8eqodgqfsk/RE_DScover_AM25LS2568-69.pdf,https://www.digikey.com/en/products/detail/rochester-electronics-llc/25LS2569FM-B/12600268,,,,,,,,,,*,,,
40161BDM,National Semiconductor,IC BINARY COUNTER 4-BIT 16CDIP,pmic-gate-drivers,1147,2.68,16-CDIP,Through Hole,Active,https://rocelec.widen.net/view/pdf/sctz7qxcfs/FAIRS32762-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/40161BDM/12103607,14 MHz,Up,,Binary Counter,4,1,,,Asynchronous,4000B,Synchronous,Positive Edge,
40163BDM,National Semiconductor,IC DECADE COUNTR DL 4BIT 16CDIP,pmic-gate-drivers,1565,4.75,16-CDIP,Through Hole,Active,https://rocelec.widen.net/view/pdf/sctz7qxcfs/FAIRS32762-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/40163BDM/12102947,14 MHz,Up,,"Counter, Decade",4,1,,,Synchronous,4000B,Synchronous,Positive Edge,
4017BDM,National Semiconductor,IC DECADE COUNTER 10BIT,pmic-gate-drivers,2002,6.14,-,-,Active,https://rocelec.widen.net/view/pdf/1xmwl9l6no/FAIRS31950-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4017BDM/12103936,,Up,,"Counter, Decade",10,1,-40°C ~ 85°C (TA),,Asynchronous,4000B,Synchronous,"Positive, Negative",3 V ~ 15 V
4018B/BEA,"Rochester Electronics, LLC",DUAL MARKED (M38510/05652BEA),pmic-gate-drivers,2189,92.99,-,-,Active,,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4018B-BEA/12591007,,,,,,,,,,*,,,
