MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Features,Operating Temperature,Output Type,Power - Rated,Sensing Range,Sensitivity,Sensor Type,Series,Termination
09196,SparkFun Electronics,PIEZO VIBRATION SENSOR - LARGE,magnetic-sensors-hall-effect-digital-switch-linear,0,11.36,Cantilever Piezo Film (Wafer),Through Hole,Active,,https://www.digikey.com/en/products/detail/sparkfun-electronics/09196/17828047,,0°C ~ 85°C,Voltage,,0Hz ~ 180Hz,50mV/g,Piezoelectric,,PC Pins
09197,SparkFun Electronics,PIEZO VIBRATION SENSOR - LARGE W,magnetic-sensors-hall-effect-digital-switch-linear,0,12.46,Cantilever Piezo Film (Wafer),Through Hole,Active,,https://www.digikey.com/en/products/detail/sparkfun-electronics/09197/17828184,,0°C ~ 85°C,Voltage,,0Hz ~ 180Hz,50mV/g,Piezoelectric,,PC Pins
09198,SparkFun Electronics,PIEZO VIBRATION SENSOR - SMALL H,magnetic-sensors-hall-effect-digital-switch-linear,0,15.68,Cantilever Piezo Film (Wafer),Through Hole,Active,,https://www.digikey.com/en/products/detail/sparkfun-electronics/09198/17828090,,-20°C ~ 60°C,Voltage,,0Hz ~ 42Hz,1.1V/g,"Vibration, Acceleration",,PC Pins
09199,SparkFun Electronics,PIEZO VIBRATION SENSOR - SMALL V,magnetic-sensors-hall-effect-digital-switch-linear,0,15.68,Cantilever Piezo Film (Wafer),Through Hole,Active,,https://www.digikey.com/en/products/detail/sparkfun-electronics/09199/17828217,,-20°C ~ 60°C,Voltage,,0Hz ~ 42Hz,1.1V/g,"Vibration, Acceleration",,PC Pins
1-1000288-0M,TE Connectivity Measurement Specialties,PIEZO SENSOR SHIELDED W/LEADS,magnetic-sensors-hall-effect-digital-switch-linear,98,49.69,"Piezo Film, Cantilever (Wafer)",User Defined,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1216/Piezo_Film_Guide.pdf,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/1-1000288-0M/3911239,,0°C ~ 70°C,Voltage,,,,Vibration,SDT,Cable/Wire Leads
1-1002145-0,TE Connectivity Measurement Specialties,SENSOR PIEZO FILM VIBRA MASS,magnetic-sensors-hall-effect-digital-switch-linear,0,5.30356,"Piezo Film, Cantilever (Wafer)",User Defined,Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/1-1002145-0/4127576,,-40°C ~ 140°C,Voltage,,,,"Vibration, Acceleration",DT,
1-1002145-0-M,TE Connectivity Measurement Specialties,DT2-028K N/TH N/HOLE,magnetic-sensors-hall-effect-digital-switch-linear,0,7.854,"Piezo Film, Cantilever (Wafer)",User Defined,Active,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FDT_Series_without_Leads%7FA1%7Fpdf%7FEnglish%7FENG_DS_DT_Series_without_Leads_A1.pdf%7F11026274-00,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/1-1002145-0-M/15930191,,-40°C ~ 60°C,Analog,,,,Piezoelectric,,Connector
1-1002149-0-M,TE Connectivity Measurement Specialties,DT4-028K W/TH W/HOLE,magnetic-sensors-hall-effect-digital-switch-linear,0,15.1536,-,-,Active,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/1-1002149-0-M/22754322,,,,,,,,*,
1-1002150-0,TE Connectivity Measurement Specialties,SENSOR VIBRATION,magnetic-sensors-hall-effect-digital-switch-linear,47,0.0,"Piezo Film, Cantilever (Wafer)",User Defined,Active,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FDT_Series_with_Riveted_Leads%7FA1%7Fpdf%7FEnglish%7FENG_DS_DT_Series_with_Riveted_Leads_A1.pdf%7F11031268-00,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/1-1002150-0/5277273,,0°C ~ 70°C,Voltage,,,,Vibration,DT,Wire Leads
1-1002405-0,TE Connectivity Measurement Specialties,SENSOR VIBRATION,magnetic-sensors-hall-effect-digital-switch-linear,336,28.96,"Piezo Film, Cantilever (Wafer)",User Defined,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1216/Piezo_Film_Guide.pdf,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/1-1002405-0/5277274,,0°C ~ 70°C,Voltage,,,,"Vibration, Acceleration",LDT,Wire Leads
1-1002608-0,TE Connectivity Measurement Specialties,SENSOR VIBRATION,magnetic-sensors-hall-effect-digital-switch-linear,1005,0.0,"Piezo Film, Cantilever (Wafer)",User Defined,Active,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/1-1002608-0/5277275,,0°C ~ 70°C,Voltage,,,,Vibration,DT,
1-1002785-1,TE Connectivity Measurement Specialties,SENSOR VIBRATION,magnetic-sensors-hall-effect-digital-switch-linear,335,18.1,"Piezo Film, Cantilever (Wafer)",User Defined,Active,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/1-1002785-1/5277276,,0°C ~ 70°C,Voltage,,,,Vibration,FDT,PC Pins
1-1002786-1,TE Connectivity Measurement Specialties,SENSOR VIBRATION,magnetic-sensors-hall-effect-digital-switch-linear,308,18.1,"Piezo Film, Cantilever (Wafer)",User Defined,Active,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/1-1002786-1/5277277,,0°C ~ 70°C,Voltage,,,,Vibration,FDT,PC Pins
1-1002908-0,TE Connectivity Measurement Specialties,SENSOR PIEZO FILM VIBRA W/LEAD,magnetic-sensors-hall-effect-digital-switch-linear,1388,0.0,"Piezo Film, Cantilever (Wafer)",User Defined,Active,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/1-1002908-0/4414983,,0°C ~ 70°C,Voltage,,,,Vibration,DT,Wire Leads
