MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Control Features,Current - Output,Current - Quiescent (Iq),Current - Supply (Max),Grade,Number of Regulators,Operating Temperature,Output Configuration,Output Type,PSRR,Protection Features,Qualification,Series,Voltage - Input (Max),Voltage - Output (Max),Voltage - Output (Min/Fixed),Voltage Dropout (Max)
ADM7150ARDZ-3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 800MA 8-SOIC-EP,pmic-voltage-regulators-linear,278,11.37,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7150.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7150ARDZ-3-3-R7/4916432,Enable,800mA,7 mA,12 mA,,1,-40°C ~ 125°C,Positive,Fixed,94dB ~ 62dB (1kHz ~ 1MHz),"Over Temperature, Short Circuit",,,16V,,3.3V,
ADM7150ARDZ-5.0,Analog Devices Inc.,IC REG LINEAR 5V 800MA 8-SOIC-EP,pmic-voltage-regulators-linear,608,11.37,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7150.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7150ARDZ-5-0/4504757,Enable,800mA,7 mA,12 mA,,1,-40°C ~ 125°C,Positive,Fixed,95dB ~ 62dB (1kHz ~ 1MHz),"Over Temperature, Short Circuit",,,16V,,5V,1V @ 800mA
ADM7150ARDZ-5.0-R7,Analog Devices Inc.,IC REG LINEAR 5V 800MA 8-SOIC-EP,pmic-voltage-regulators-linear,1295,11.37,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7150.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7150ARDZ-5-0-R7/4916433,Enable,800mA,7 mA,12 mA,,1,-40°C ~ 125°C,Positive,Fixed,95dB ~ 62dB (1kHz ~ 1MHz),"Over Temperature, Short Circuit",,,16V,,5V,1V @ 800mA
ADM7151ACPZ-04-R7,Analog Devices Inc.,IC REG LIN POS ADJ 800MA 8LFCSP,pmic-voltage-regulators-linear,0,11.37,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7151.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7151ACPZ-04-R7/4866865,Enable,800mA,7 mA,12 mA,,1,-40°C ~ 125°C,Positive,Adjustable,94dB ~ 53dB (1kHz ~ 1MHz),"Over Temperature, Short Circuit",,,16V,5.1V,1.5V,1.2V @ 800mA
ADM7151ARDZ-04-R7,Analog Devices Inc.,IC REG LIN POS ADJ 800MA 8-SOIC,pmic-voltage-regulators-linear,45,11.37,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7151.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7151ARDZ-04-R7/4916435,Enable,800mA,7 mA,12 mA,,1,-40°C ~ 125°C (TJ),Positive,Adjustable,94dB ~ 53dB (1kHz ~ 1MHz),"Over Temperature, Short Circuit",,,16V,5.1V,1.5V,1.2V @ 800mA
ADM7154ACPZ-1.8-R7,Analog Devices Inc.,IC REG LIN 1.8V 600MA 8-LFCSP-WD,pmic-voltage-regulators-linear,2639,7.62,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7154.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7154ACPZ-1-8-R7/5057391,Enable,600mA,7 mA,10 mA,,1,-40°C ~ 125°C,Positive,Fixed,63dB (1MHz),"Over Current, Over Temperature",,,5.5V,,1.8V,
ADM7154ACPZ-2.5-R7,Analog Devices Inc.,IC REG LIN 2.5V 600MA 8-LFCSP-WD,pmic-voltage-regulators-linear,6639,7.62,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7154.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7154ACPZ-2-5-R7/5057392,Enable,600mA,7 mA,10 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,5.5V,,2.5V,
ADM7154ACPZ-3.0-R7,Analog Devices Inc.,IC REG LIN 3V 600MA 8-LFCSP-WD,pmic-voltage-regulators-linear,7637,7.62,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7154.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7154ACPZ-3-0-R7/5057394,Enable,600mA,7 mA,10 mA,,1,-40°C ~ 125°C,Positive,Fixed,,"Over Current, Over Temperature",,,5.5V,,3V,
ADM7154ACPZ-3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 600MA 8-LFCSP-WD,pmic-voltage-regulators-linear,4810,7.62,"8-WFDFN Exposed Pad, CSP",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7154.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7154ACPZ-3-3-R7/5057395,Enable,600mA,7 mA,10 mA,,1,-40°C ~ 125°C,Positive,Fixed,58dB (1MHz),"Over Current, Over Temperature",,,5.5V,,3.3V,0.21V @ 600mA
ADM7154ARDZ-3.3-R7,Analog Devices Inc.,IC REG LIN 3.3V 600MA 8-SOIC-EP,pmic-voltage-regulators-linear,0,8.07,"8-SOIC (0.154"", 3.90mm Width) Exposed Pad",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADM7154.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADM7154ARDZ-3-3-R7/5057400,Enable,600mA,7 mA,10 mA,,1,-40°C ~ 125°C,Positive,Fixed,58dB (1MHz),"Over Current, Over Temperature",,,5.5V,,3.3V,0.21V @ 600mA
