MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Data Interface,Data Rate,Duplex,"Dynamic Range, ADCs / DACs (db) Typ",Function,Grade,Logic Type,Number of ADCs / DACs,Number of Bits per Element,Number of Drivers/Receivers,Number of Elements,Operating Temperature,Output Type,Protocol,Qualification,Receiver Hysteresis,Resolution (Bits),"S/N Ratio, ADCs / DACs (db) Typ",Series,Sigma Delta,Type,Voltage - Supply,"Voltage - Supply, Analog","Voltage - Supply, Digital"
08892,SparkFun Electronics,MP3 AND MIDI CODEC VS1053B,logic-signal-switches-multiplexers-decoders,0,0.0,48-LQFP,Surface Mount,Obsolete,https://www.sparkfun.com/datasheets/Components/SMD/vs1053.pdf,https://www.digikey.com/en/products/detail/sparkfun-electronics/08892/9490115,I2S,,,,,,,1 / 1,,,,-30°C ~ 85°C (TA),,,,,18 b,,,Yes,Audio,,2.5V ~ 3.6V,1.7V ~ 1.85V
100145DCQR,National Semiconductor,IC REG FILE NON INV 4BIT 24CDIP,logic-translators-level-shifters,2046,11.2,"24-CDIP (0.600"", 15.24mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/qmxogzbxpw/NATLS14650-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100145DCQR/12098895,,,,,,,Register File,,4,,1,,Non-Inverted,,,,,,,,,,,
100336J-QMLV,National Semiconductor,IC REG BIDIRECT COMP 4BIT 24CDIP,logic-translators-level-shifters,18,469.44,"24-CDIP (0.600"", 15.24mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/6n1sco7rfi/NATLS26437-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100336J-QMLV/13431096,,,,,Serial to Parallel,,"Register, Bidirectional",,4,,1,-55°C ~ 125°C,Complementary,,,,,,,,,-4.2V ~ -5.7V,,
100336PC,Fairchild Semiconductor,IC REG BIDIRECT COMP 4BIT 24PDIP,logic-translators-level-shifters,2099,9.04,"24-DIP (0.400"", 10.16mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/dsjsraaylb/FAIRS01087-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100336PC/12104061,,,,,,,"Register, Bidirectional",,4,,1,0°C ~ 85°C,Complementary,,,,,,,,,-4.2V ~ -5.7V,,
100336QC,Fairchild Semiconductor,IC SHIFT REGTR COMP 4BIT 28-PLCC,logic-translators-level-shifters,1435,12.41,28-LCC (J-Lead),Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/dsjsraaylb/FAIRS01087-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100336QC/11511450,,,,,Serial to Parallel,,Shift Register,,4,,1,-40°C ~ 85°C,Complementary,,,,,,,,,4.2V ~ 5.7V,,
100336QCX,Fairchild Semiconductor,IC SHIFT REGTR COMP 4BIT 28-PLCC,logic-translators-level-shifters,898,8.68,28-LCC (J-Lead),Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/gz2ziqukun/FAIRS07656-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100336QCX/11510760,,,,,Serial to Parallel,,Shift Register,,4,,1,-40°C ~ 85°C,Complementary,,,,,,,,,4.2V ~ 5.7V,,
100336QI,Fairchild Semiconductor,IC SHIFT REGTR COMP 4BIT 28-PLCC,logic-translators-level-shifters,735,11.38,28-LCC (J-Lead),Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/dsjsraaylb/FAIRS01087-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100336QI/11509740,,,,,Serial to Parallel,,Shift Register,,4,,1,-40°C ~ 85°C,Complementary,,,,,,,,,4.2V ~ 5.7V,,
100336W-QMLV,National Semiconductor,IC REGISTER BIDIRECT COMP 4BIT,logic-translators-level-shifters,80,489.85,-,-,Active,https://rocelec.widen.net/view/pdf/6n1sco7rfi/NATLS26437-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100336W-QMLV/13501258,,,,,Serial to Parallel,,"Register, Bidirectional",,4,,1,-55°C ~ 125°C,Complementary,,,,,,,,,-4.2V ~ -5.7V,,
100341J-QMLV,National Semiconductor,IC REG D-TYP PSH PUL 8BIT 24CDIP,logic-translators-level-shifters,160,466.64,"24-CDIP (0.400"", 10.16mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/x2fxorfcag/NATLS11109-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100341J-QMLV/13431414,,,,,Serial to Parallel,,"Register, D-Type",,8,,1,-55°C ~ 125°C,Push-Pull,,,,,,,,,4.2V ~ 5.7V,,
100341PC,Fairchild Semiconductor,IC SR PUSH-PULL 8BIT 24-PDIP,logic-translators-level-shifters,1080,5.74,"24-DIP (0.400"", 10.16mm)",Through Hole,Active,https://rocelec.widen.net/view/pdf/3wfoshq80o/FAIRS01088-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/100341PC/12104887,,,,,,,Shift Register,,8,,1,0°C ~ 85°C,Push-Pull,,,,,,,,,-4.2V ~ -5.7V,,
