MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Connectivity,Core Processor,Core Size,Data Converters,DigiKey Programmable,EEPROM Size,Grade,Number of I/O,Operating Temperature,Oscillator Type,Peripherals,Program Memory Size,Program Memory Type,Qualification,RAM Size,Series,Speed,Voltage - Supply (Vcc/Vdd)
ADUC7026BSTZ62,Analog Devices Inc.,IC MCU 16/32BIT 62KB FLSH 80LQFP,embedded-microcontrollers,21,23.88,80-LQFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADuC7019_20_21_22_24_25_26_27_28_29.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADUC7026BSTZ62/814070,"EBI/EMI, I2C, SPI, UART/USART",ARM7®,16/32-Bit,A/D 12 x12b; D/A 4x12b,Not Verified,,,40,-40°C ~ 125°C (TA),Internal,"PLA, PWM, PSM, Temp Sensor, WDT",62KB (31K x16),FLASH,,2K x 32,MicroConverter® ADuC7xxx,44MHz,2.7V ~ 3.6V
ADUC812BSZ,Analog Devices Inc.,IC MCU 8BIT 8KB FLASH 52MQFP,embedded-microcontrollers,1242,29.21,52-QFP,Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/ADUC812.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/ADUC812BSZ/820259,"I2C, SPI, UART/USART",8052,8-Bit,A/D 8x12b; D/A 2x12b,Verified,640 x 8,,34,-40°C ~ 85°C (TA),Internal,"PSM, Temp Sensor, WDT",8KB (8K x 8),FLASH,,256 x 8,MicroConverter® ADuC8xx,16MHz,2.7V ~ 5.5V
AT32UC3A0512-ALUT,Microchip Technology,IC MCU 32BIT 512KB FLASH 144LQFP,embedded-microcontrollers,1109,14.66,144-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/32058S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT32UC3A0512-ALUT/1640262,"EBI/EMI, Ethernet, I2C, SPI, SSC, UART/USART, USB OTG",AVR,32-Bit,A/D 8x10b,Not Verified,,,109,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",512KB (512K x 8),FLASH,,64K x 8,AVR®32 UC3 A0,66MHz,1.65V ~ 3.6V
AT32UC3A1512-AUT,Microchip Technology,IC MCU 32BIT 512KB FLASH 100TQFP,embedded-microcontrollers,1180,14.45,100-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/32058S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT32UC3A1512-AUT/1640265,"Ethernet, I2C, SPI, SSC, UART/USART, USB OTG",AVR,32-Bit,A/D 8x10b,Not Verified,,,69,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, POR, PWM, WDT",512KB (512K x 8),FLASH,,64K x 8,AVR®32 UC3 A1,66MHz,1.65V ~ 3.6V
AT32UC3B0256-A2UT,Microchip Technology,IC MCU 32BIT 256KB FLASH 64TQFP,embedded-microcontrollers,1426,9.1,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/32059S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT32UC3B0256-A2UT/1769694,"I2C, IrDA, SPI, SSC, UART/USART, USB",AVR,32-Bit,A/D 8x10b,Not Verified,,,44,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",256KB (256K x 8),FLASH,,32K x 8,AVR®32 UC3 B,60MHz,1.65V ~ 3.6V
AT32UC3B0512-A2UT,Microchip Technology,IC MCU 32BIT 512KB FLASH 64TQFP,embedded-microcontrollers,1819,11.17,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/32059S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT32UC3B0512-A2UT/2271172,"I2C, IrDA, SPI, SSC, UART/USART, USB",AVR,32-Bit,A/D 8x10b,Not Verified,,,44,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",512KB (512K x 8),FLASH,,96K x 8,AVR®32 UC3 B,60MHz,1.65V ~ 3.6V
AT32UC3B064-A2UT,Microchip Technology,IC MCU 32BIT 64KB FLASH 64TQFP,embedded-microcontrollers,3305,6.76,64-TQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/32059S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT32UC3B064-A2UT/1769696,"I2C, IrDA, SPI, SSC, UART/USART, USB",AVR,32-Bit,A/D 8x10b,Not Verified,,,44,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, POR, PWM, WDT",64KB (64K x 8),FLASH,,16K x 8,AVR®32 UC3 B,60MHz,1.65V ~ 3.6V
AT32UC3C0512C-ALUT,Microchip Technology,IC MCU 32BIT 512KB FLASH 144LQFP,embedded-microcontrollers,4780,16.67,144-LQFP,Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/32117S.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT32UC3C0512C-ALUT/2507904,"CANbus, EBI/EMI, Ethernet, I2C, IrDA, LINbus, SPI, UART/USART, USB",AVR,32-Bit,A/D 16x12b; D/A 2x12b,Not Verified,,,123,-40°C ~ 85°C (TA),Internal,"Brown-out Detect/Reset, DMA, I2S, POR, PWM, WDT",512KB (512K x 8),FLASH,,64K x 8,AVR®32 UC3 C,66MHz,3V ~ 5.5V
AT89C2051-12PU,Microchip Technology,IC MCU 8BIT 2KB FLASH 20DIP,embedded-microcontrollers,6193,2.08,"20-DIP (0.300"", 7.62mm)",Through Hole,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc0368.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89C2051-12PU/1118878,UART/USART,8051,8-Bit,,Verified,,,15,-40°C ~ 85°C (TA),Internal,LED,2KB (2K x 8),FLASH,,128 x 8,89C,12MHz,2.7V ~ 6V
AT89C2051-12SU,Microchip Technology,IC MCU 8BIT 2KB FLASH 20SOIC,embedded-microcontrollers,2339,1.51,"20-SOIC (0.295"", 7.50mm Width)",Surface Mount,Active,https://ww1.microchip.com/downloads/en/DeviceDoc/doc0368.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT89C2051-12SU/1118879,UART/USART,8051,8-Bit,,Verified,,,15,-40°C ~ 85°C (TA),Internal,LED,2KB (2K x 8),FLASH,,128 x 8,89C,12MHz,2.7V ~ 6V
