MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,"Coded, Keyed",Color,Contents,Features,For Use With/Related Products,Gender,Includes,Number of Positions,Series,Size,Stacking Direction,Style,Terminal Size,Terminal Type,Termination Style,Thread Size,Type
0006022031,Molex,CONN RCPT HSG 0.25 3POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.0,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/006022031_sd.pdf,https://www.digikey.com/en/products/detail/molex/0006022031/3071473,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,3,42295,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0006023042,Molex,CONN RCPT HSG 0.25 4POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.33079,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/molex/0006023042/3071474,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,4,42400,,Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0006029031,Molex,CONN RCPT HSG 0.187 3POS BLACK,optoisolators-transistor-photovoltaic-output,0,0.12373,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/006029031_sd.pdf,https://www.digikey.com/en/products/detail/molex/0006029031/3071477,,Black,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,3,2191,,Top to Bottom,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0006029034,Molex,CONN RCPT HSG 0.187 3POS NATURAL,optoisolators-transistor-photovoltaic-output,9447,0.37,,Free Hanging (In-Line),Active,https://www.molex.com/pdm_docs/sd/006029034_sd.pdf,https://www.digikey.com/en/products/detail/molex/0006029034/3467043,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,3,,,Top to Bottom,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0191610333,Molex,CONN MALE TAB SLEEVE 1POS,optoisolators-transistor-photovoltaic-output,6194,0.22,,Free Hanging (In-Line),Active,https://www.molex.com/webdocs/datasheets/pdf/en-us/0191610333_QUICK_DISCONNECTS.pdf,https://www.digikey.com/en/products/detail/molex/0191610333/3185645,,,,,,"Male, Tab",,1,,,,Sleeve,,Barrel,,,
0191610334,Molex,CONN RCPT SLEEVE 1POS,optoisolators-transistor-photovoltaic-output,3470,0.23,,Free Hanging (In-Line),Active,https://www.molex.com/webdocs/datasheets/pdf/en-us/0191610334_QUICK_DISCONNECTS.pdf,https://www.digikey.com/en/products/detail/molex/0191610334/3185670,,,,,,"Female, Receptacle",,1,,,,Sleeve,,Barrel,,,
0194390007,Molex,LOCKING QD HOUSING V-2 MAT'L SPM,optoisolators-transistor-photovoltaic-output,5738,0.55,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/molex/0194390007/21282375,,Natural,,,,"Female, Receptacle",,1,Loxon,,Top to Bottom,Housing,,"Quick Connect, Disconnect",,,
0194390008,Molex,LOCKING QD HOUSING V-0 MAT'L SPM,optoisolators-transistor-photovoltaic-output,3825,0.64,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/molex/0194390008/21282376,,Natural,,,,"Female, Receptacle",,1,Loxon,,Top to Bottom,Housing,,"Quick Connect, Disconnect",,,
01P-WPKH-KN,JST Sales America Inc.,WPK MALE HOUSING ASSEMBLY,optoisolators-transistor-photovoltaic-output,0,0.8217,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/jst-sales-america-inc/01P-WPKH-KN/26434043,,Black,,,,"Female, Receptacle",,1,,,,Housing,,"Quick Connect, Disconnect",,,
0350253540,Molex,CONN RCPT SLEEVE 0.25 1POS BLUE,optoisolators-transistor-photovoltaic-output,0,0.0292,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/350253540_sd.pdf,https://www.digikey.com/en/products/detail/molex/0350253540/4143707,,Blue,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,1,,,,Sleeve,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0350254002,Molex,CONN RCPT SLEEVE 0.25 1POS WHITE,optoisolators-transistor-photovoltaic-output,0,0.03888,Bag,"Free Hanging (In-Line), Right Angle",Obsolete,https://www.molex.com/pdm_docs/sd/350254002_sd.pdf,https://www.digikey.com/en/products/detail/molex/0350254002/4143709,,White,,,"0.250"" (6.35mm) Quick Connects, Flag","Female, Receptacle",,1,,,,Sleeve,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0351120210,Molex,CONN RCPT HSG 0.11 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.09764,,Free Hanging (In-Line),Active,https://www.molex.com/pdm_docs/sd/351120210_sd.pdf,https://www.digikey.com/en/products/detail/molex/0351120210/3184900,,Natural,,,"0.110"" (2.79mm) Quick Connects","Female, Receptacle",,2,,,Top to Bottom,Housing,"0.110"" (2.79mm)","Quick Connect, Disconnect",,,
0351890110,Molex,CONN RCPT HSG 0.187 1POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.06219,Bag,Free Hanging (In-Line),Active,https://www.molex.com/pdm_docs/sd/351890110_sd.pdf,https://www.digikey.com/en/products/detail/molex/0351890110/3184994,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,1,MP-Lock,,,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0351890111,Molex,CONN RCPT HSG 0.187 1POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.06244,,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/351890110_sd.pdf,https://www.digikey.com/en/products/detail/molex/0351890111/3184995,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,1,MP-Lock,,,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0351890200,Molex,CONN RCPT HSG 0.187 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.05575,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/351890200_sd.pdf,https://www.digikey.com/en/products/detail/molex/0351890200/3184996,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,2,MP-Lock,,Top to Bottom,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0351890260,Molex,0351890260,optoisolators-transistor-photovoltaic-output,0,0.0,,-,Obsolete,,https://www.digikey.com/en/products/detail/molex/0351890260/16096730,,,,,,,,,,,,,,,,,
0351890290,Molex,CONN .187 MP-LOCK 13MM,optoisolators-transistor-photovoltaic-output,0,0.11351,,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/molex/0351890290/12091146,,Natural,,,,"Female, Receptacle",,2,MP-Lock,,Side to Side,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0351890292,Molex,CONN MP LOCK .187 13MM,optoisolators-transistor-photovoltaic-output,0,0.0,,-,Obsolete,,https://www.digikey.com/en/products/detail/molex/0351890292/12091014,,,,,,,,,*,,,,,,,,
0351897281,Molex,CONN RCPT HSG 0.187 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.20416,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/351897281_sd.pdf,https://www.digikey.com/en/products/detail/molex/0351897281/3184999,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,2,MP-Lock,,Side to Side,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0351898281,Molex,CONN RCPT HSG 0.187 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.20982,Bag,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/molex/0351898281/3185000,,Natural,,,"0.187"" (4.75mm) Quick Connects","Female, Receptacle",,2,MP-Lock,,Side to Side,Housing,"0.187"" (4.75mm)","Quick Connect, Disconnect",,,
0351960111,Molex,CONN RCPT HSG 0.25 1POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.29348,Bag,Free Hanging (In-Line),Active,,https://www.digikey.com/en/products/detail/molex/0351960111/4143734,,Natural,,,"0.250"" (6.35mm) Quick Connects","Female, Receptacle",,1,MP-Lock,,,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0351960292,Molex,CONN 0.25 2POS GLOW WIRE,optoisolators-transistor-photovoltaic-output,0,0.24909,Bag,-,Obsolete,,https://www.digikey.com/en/products/detail/molex/0351960292/4143735,,,,,"0.250"" (6.35mm) Quick Connects",,,2,MP-Lock,,,,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0352700410,Molex,CONN RCPT HOUSING 4POS,optoisolators-transistor-photovoltaic-output,0,1.2388,,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/352700410_sd.pdf,https://www.digikey.com/en/products/detail/molex/0352700410/3185008,,,,,,"Female, Receptacle",,4,35270,,Top to Bottom and Side to Side,Housing,,"Quick Connect, Disconnect",,,
0352700610,Molex,CONN RCPT HOUSING 6POS,optoisolators-transistor-photovoltaic-output,0,0.60778,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/352700610_sd.pdf,https://www.digikey.com/en/products/detail/molex/0352700610/3185009,,,,,,"Female, Receptacle",,6,35270,,Top to Bottom and Side to Side,Housing,,"Quick Connect, Disconnect",,,
0352720310,Molex,CONN MALE TAB HOUSING 0.25 3POS,optoisolators-transistor-photovoltaic-output,0,0.88724,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/352720310_sd.pdf,https://www.digikey.com/en/products/detail/molex/0352720310/3185010,,,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,3,35272,,Multiple,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0352720410,Molex,CONN MALE TAB HOUSING 0.25 4POS,optoisolators-transistor-photovoltaic-output,0,1.2388,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/352720410_sd.pdf,https://www.digikey.com/en/products/detail/molex/0352720410/3185011,,,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,4,35272,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0352720610,Molex,CONN MALE TAB HOUSING 0.25 6POS,optoisolators-transistor-photovoltaic-output,500,1.18,,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/352720610_sd.pdf,https://www.digikey.com/en/products/detail/molex/0352720610/24830177,,,,,"0.250"" (6.35mm) Quick Connects","Male, Tab",,6,35272,,Top to Bottom and Side to Side,Housing,"0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0355060510,Molex,CONN RCPT HSG 0.11 5POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.21732,,Free Hanging (In-Line),Obsolete,https://www.waldom.com/upload/parts/datasheets/mf-mol/mol-35506-0510.pdf,https://www.digikey.com/en/products/detail/molex/0355060510/3185128,,Natural,,,"0.110"" (2.79mm) Quick Connects","Female, Receptacle",,5,MP-Lock,,Side to Side,Housing,"0.110"" (2.79mm)","Quick Connect, Disconnect",,,
0355440200,Molex,CONN RCPT HSG 0.11 2POS NATURAL,optoisolators-transistor-photovoltaic-output,0,0.06564,Bag,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/355440200_sd.pdf,https://www.digikey.com/en/products/detail/molex/0355440200/3185150,,Natural,,,"0.110"" (2.79mm) Quick Connects","Female, Receptacle",,2,35544,,Top to Bottom,Housing,"0.110"" (2.79mm)","Quick Connect, Disconnect",,,
0355440400,Molex,CONN RCPT HSG 0.11 4POS WHITE,optoisolators-transistor-photovoltaic-output,0,0.09388,,Free Hanging (In-Line),Obsolete,https://www.molex.com/pdm_docs/sd/355440400_sd.pdf,https://www.digikey.com/en/products/detail/molex/0355440400/2405532,,White,,,"0.110"" (2.79mm) Quick Connects","Female, Receptacle",,4,35544,,Top to Bottom,Housing,"0.110"" (2.79mm)","Quick Connect, Disconnect",,,
0355460700,Molex,CONN NON-GENDER HSG 0.118/0.250,optoisolators-transistor-photovoltaic-output,0,0.8398,"Bag
Bag",Free Hanging (In-Line),Obsolete,https://www.waldom.com/upload/parts/datasheets/mf-mol/mol-35546-0700.pdf,https://www.digikey.com/en/products/detail/molex/0355460700/3185151,,Natural,,,"0.118"" (3.00mm) and 0.250"" (6.35mm) Quick Connects",Non-Gendered,,7,35546,,Multiple,Housing,"0.118"" (3.00mm), 0.250"" (6.35mm)","Quick Connect, Disconnect",,,
0355470300,Molex,CONN RCPT HSG 0.118 0.250 3POS,optoisolators-transistor-photovoltaic-output,0,0.40872,,Free Hanging (In-Line),Obsolete,,https://www.digikey.com/en/products/detail/molex/0355470300/3185152,,Natural,,,"0.118"" (3.00mm) and 0.250"" (6.35mm) Quick Connects","Female, Receptacle",,3,35547,,Side to Side,Housing,"0.118"" (3.00mm), 0.250"" (6.35mm)","Quick Connect, Disconnect",,,
