MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Current - Supply,Data Rate,DigiKey Programmable,Function,Grade,Input Type,Interface,Number of Inputs,Number of Outputs,Operating Temperature,Output Type,Protocol,Qualification,Series,Standards,Voltage - Supply
1893BFILF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 48SSOP,pmic-supervisors,239,16.89,"48-BSSOP (0.295"", 7.50mm Width)",,Active,https://www.renesas.com/us/en/document/dst/1893bfbk-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893BFILF/2004857,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893BY-10LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 64TQFP,pmic-supervisors,0,2.63694,64-TQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/638/ICS1893BY10%5B1%5D.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893BY-10LF/2004868,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893BY-10LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 64TQFP,pmic-supervisors,0,2.49268,64-TQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/638/ICS1893BY10%5B1%5D.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893BY-10LFT/2004869,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893BYI-10LF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 64TQFP,pmic-supervisors,0,5.22225,64-TQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/638/ICS1893BY10%5B1%5D.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893BYI-10LF/2004872,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893BYI-10LFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 64TQFP,pmic-supervisors,0,4.96792,64-TQFP,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/638/ICS1893BY10%5B1%5D.pdf,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893BYI-10LFT/2004873,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893CFLF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 48SSOP,pmic-supervisors,0,4.158,"48-BSSOP (0.295"", 7.50mm Width)",,Active,https://www.renesas.com/us/en/document/dst/1893c-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893CFLF/1915322,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893CFLFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 48SSOP,pmic-supervisors,0,4.158,"48-BSSOP (0.295"", 7.50mm Width)",,Active,https://www.renesas.com/us/en/document/dst/1893c-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893CFLFT/1915323,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893CKILF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 56VFQFPN,pmic-supervisors,126,15.79,56-VFQFN Exposed Pad,,Active,https://www.renesas.com/us/en/document/dst/1893c-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893CKILF/1915324,,,Not Verified,Physical Layer Controller,,,Parallel,,,-40°C ~ 85°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893CKLF,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 56VFQFPN,pmic-supervisors,0,5.59019,56-VFQFN Exposed Pad,,Active,https://www.renesas.com/us/en/document/dst/1893c-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893CKLF/1915325,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
1893CKLFT,Renesas Electronics Corporation,IC CONTROLLER ETHERNET 56VFQFPN,pmic-supervisors,0,4.14908,56-VFQFN Exposed Pad,,Obsolete,https://www.renesas.com/us/en/document/dst/1893c-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/1893CKLFT/2004883,,,Not Verified,Physical Layer Controller,,,Parallel,,,0°C ~ 70°C,,Ethernet,,PHYceiver™,10/100 Base-T/TX PHY,3.14V ~ 3.47V
