MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Bidirectional Channels,Capacitance @ Frequency,Current - Peak Pulse (10/1000µs),Grade,Operating Temperature,Power - Peak Pulse,Power Line Protection,Qualification,Series,Type,Unidirectional Channels,Voltage - Breakdown (Min),Voltage - Clamping (Max) @ Ipp,Voltage - Reverse Standoff (Typ)
1.5KE300CA,Littelfuse Inc.,TVS DIODE 256VWM 414VC DO201,tvs-diodes,479,1.21,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5KE300CA/688069,General Purpose,1,,3.7A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,1.5KE,Zener,,285V,414V,256V
1.5KE30A,Littelfuse Inc.,TVS DIODE 25.6VWM 41.4VC DO201,tvs-diodes,10278,0.92,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5KE30A/285858,General Purpose,,,36.7A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,1.5KE,Zener,1,28.5V,41.4V,25.6V
1.5KE33CA,Littelfuse Inc.,TVS DIODE 28.2VWM 45.7VC DO201,tvs-diodes,37195,0.92,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5KE33CA/688026,General Purpose,1,,33.3A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,1.5KE,Zener,,31.4V,45.7V,28.2V
1.5KE350CA,Littelfuse Inc.,TVS DIODE 300VWM 482VC DO201,tvs-diodes,11238,1.21,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5KE350CA/688071,General Purpose,1,,4.2A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,1.5KE,Zener,,332V,482V,300V
1.5KE47CA-E3/54,Vishay General Semiconductor - Diodes Division,TVS DIODE 40.2VWM 64.8VC 1.5KE,tvs-diodes,18249,1.57,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.vishay.com/docs/88301/15ke.pdf,https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/1-5KE47CA-E3-54/2142903,General Purpose,1,,23.1A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,TransZorb®,Zener,,44.7V,64.8V,40.2V
1.5KE6.8A,Littelfuse Inc.,TVS DIODE 5.8VWM 10.5VC DO201,tvs-diodes,4042,0.92,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5KE6-8A/285842,General Purpose,,,144.8A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,1.5KE,Zener,1,6.45V,10.5V,5.8V
1.5KE68CA,Littelfuse Inc.,TVS DIODE 58.1VWM 92VC DO201,tvs-diodes,15882,1.14,"DO-201AA, DO-27, Axial",Through Hole,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5ke_datasheet.pdf?assetguid=9d02c7d2-86a5-4bff-9251-966d6af02bf7,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5KE68CA/688042,General Purpose,1,,16.5A,,-55°C ~ 175°C (TJ),1500W (1.5kW),No,,1.5KE,Zener,,64.6V,92V,58.1V
1.5SMBJ33CA,Bourns Inc.,TVS DIODE 33VWM 53.3VC DO214AA,tvs-diodes,20282,1.13,"DO-214AA, SMB",Surface Mount,Active,https://www.bourns.com/docs/product-datasheets/1-5smbj.pdf,https://www.digikey.com/en/products/detail/bourns-inc/1-5SMBJ33CA/15211431,General Purpose,1,,28.2A,,-55°C ~ 150°C (TJ),1500W (1.5kW),No,,1.5SMBJ,Zener,,36.7V,53.3V,33V
1.5SMC36A,Littelfuse Inc.,TVS DIODE 30.8VWM DO214AB,tvs-diodes,101768,1.04,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5smc_datasheet.pdf?assetguid=4699ae45-ea3d-42d5-90f2-b76a7b7f12c3,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5SMC36A/715017,General Purpose,,,30.5A,,-55°C ~ 150°C (TJ),1500W (1.5kW),No,,1.5SMC,Zener,1,34.2V,49.9V,30.8V
1.5SMC39A,Littelfuse Inc.,TVS DIODE 33.3VWM 53.9V DO214AB,tvs-diodes,19291,1.04,"DO-214AB, SMC",Surface Mount,Active,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_1_5smc_datasheet.pdf?assetguid=4699ae45-ea3d-42d5-90f2-b76a7b7f12c3,https://www.digikey.com/en/products/detail/littelfuse-inc/1-5SMC39A/715021,General Purpose,,,28.2A,,-55°C ~ 150°C (TJ),1500W (1.5kW),No,,1.5SMC,Zener,1,37.1V,53.9V,33.3V
