MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Battery Chemistry,Function,Number of Bits/Stages,Operating Temperature,Series
4213AM,Burr Brown,IC MULT/DIVIDER TO-100-10,interface-specialized,550,71.78,TO-100-10 Metal Can,,Active,https://rocelec.widen.net/view/pdf/6fvnme7fzz/4213.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4213AM/12592344,,Analog Multiplier/Divider,4-Quadrant,,
4213AM-TI,Texas Instruments,4213 MULTIPLIER-DIVIDER,interface-specialized,8984,71.78,-,,Active,https://rocelec.widen.net/view/pdf/6fvnme7fzz/4213.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4213AM-TI/12642476,,,,,*
4213BM,Texas Instruments,IC MULT/DIVIDER TO-100-10,interface-specialized,0,111.51,TO-100-10 Metal Can,,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/734/4213.pdf,https://www.digikey.com/en/products/detail/texas-instruments/4213BM/300502,,Analog Multiplier/Divider,4-Quadrant,,
4213SM,Texas Instruments,IC MULT/DIVIDER TO-100-10,interface-specialized,8,275.77,TO-100-10 Metal Can,,Last Time Buy,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/734/4213.pdf,https://www.digikey.com/en/products/detail/texas-instruments/4213SM/300503,,Analog Multiplier/Divider,4-Quadrant,,
4214AP,Texas Instruments,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,55.4,"14-CDIP (0.300"", 7.62mm)",,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/936/4214.pdf,https://www.digikey.com/en/products/detail/texas-instruments/4214AP/300504,,Analog Multiplier/Divider,4-Quadrant,,
4214BP,Burr Brown,IC MULT/DIVIDER 14-CDIP,interface-specialized,720,68.04,"14-CDIP (0.300"", 7.62mm)",,Obsolete,https://rocelec.widen.net/view/pdf/1u1cmyxbbu/TXIIS40742-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/4214BP/11542997,,Analog Multiplier/Divider,4-Quadrant,,
5962-9325101M2A,Harris Corporation,IC MULT 20-CLCC,interface-specialized,22,32.39,20-CLCC,,Active,https://rocelec.widen.net/view/pdf/y2oiu2avlf/HRISD023-8-3.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/5962-9325101M2A/12592029,,Analog Multiplier,2-Quadrant,,
AD532JHZ,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD532.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD532JHZ/1551781,,Analog Multiplier/Divider,4-Quadrant,,
AD532KDZ,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,11,287.18,"14-CDIP (0.300"", 7.62mm)",,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD532.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD532KDZ/1246034,,Analog Multiplier/Divider,4-Quadrant,,
AD532SD,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD532.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD532SD/617467,,Analog Multiplier/Divider,4-Quadrant,,
AD534JD,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD534JD/611754,,Analog Multiplier/Divider,4-Quadrant,,
