MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,Grade,Qualification,Series,Type
5962-9864601QEA,Analog Devices Inc.,IC AMP SPECIAL 16-CDIP,interface-controllers,2,359.55,"16-CDIP (0.300"", 7.62mm)",Through Hole,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8306.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/5962-9864601QEA/3904467,Networking,,,,Amplifier
8010950000,Weidmüller,IC AMP SPECIAL,interface-controllers,0,52.62,-,-,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/877/8010950000.pdf,https://www.digikey.com/en/products/detail/weidm%C3%BCller/8010950000/491588,,,,,
806-0447-30+,Analog Devices Inc./Maxim Integrated,IC AMP SPECIAL,interface-controllers,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/806-0447-30/11483842,,,,,
98-1073PBF,Infineon Technologies,98-1073PBF,interface-controllers,0,0.0,-,-,Obsolete,,https://www.digikey.com/en/products/detail/infineon-technologies/98-1073PBF/20193898,,,,,
AD8138AARMZ,Analog Devices Inc.,IC AMP SPECIAL 8-MSOP,interface-controllers,0,0.0,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138AARMZ/1979572,Data Acquisition,,,,ADC Driver
AD8138AARMZ-R7,Analog Devices Inc.,IC AMP SPECIAL 8-MSOP,interface-controllers,0,0.0,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138AARMZ-R7/2342532,Data Acquisition,,,,ADC Driver
AD8138AARMZ-RL,Analog Devices Inc.,IC AMP SPECIAL 8-MSOP,interface-controllers,0,0.0,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138AARMZ-RL/2342533,Data Acquisition,,,,ADC Driver
AD8138AARZ,Analog Devices Inc.,IC AMP SPECIAL 8-SOIC,interface-controllers,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138AARZ/2077074,Data Acquisition,,,,ADC Driver
AD8138AARZ-R7,Analog Devices Inc.,IC AMP SPECIAL 8-SOIC,interface-controllers,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138AARZ-R7/2079296,Data Acquisition,,,,ADC Driver
AD8138AARZ-RL,Analog Devices Inc.,IC AMP SPECIAL 8-SOIC,interface-controllers,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138AARZ-RL/2079297,Data Acquisition,,,,ADC Driver
AD8138AR,Analog Devices Inc.,IC AMP SPECIAL 8-SOIC,interface-controllers,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138AR/611675,Data Acquisition,,,,ADC Driver
AD8138AR-REEL,Analog Devices Inc.,IC AMP SPECIAL 8-SOIC,interface-controllers,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138AR-REEL/620832,Data Acquisition,,,,ADC Driver
AD8138AR-REEL7,Analog Devices Inc.,IC AMP SPECIAL 8-SOIC,interface-controllers,0,0.0,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138AR-REEL7/620833,Data Acquisition,,,,ADC Driver
AD8138ARM,Analog Devices Inc.,IC AMP SPECIAL 8-MSOP,interface-controllers,0,0.0,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138ARM/611674,Data Acquisition,,,,ADC Driver
AD8138ARM-REEL,Analog Devices Inc.,IC AMP SPECIAL 8-MSOP,interface-controllers,0,0.0,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138ARM-REEL/620834,Data Acquisition,,,,ADC Driver
AD8138ARM-REEL7,Analog Devices Inc.,IC AMP SPECIAL 8-MSOP,interface-controllers,0,0.0,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Obsolete,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138ARM-REEL7/620835,Data Acquisition,,,,ADC Driver
AD8138ARMZ,Analog Devices Inc.,IC AMP SPECIAL 8-MSOP,interface-controllers,2891,13.81,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138ARMZ/819975,Data Acquisition,,,,ADC Driver
AD8138ARMZ-REEL,Analog Devices Inc.,IC AMP SPECIAL 8-MSOP,interface-controllers,2921,13.81,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138ARMZ-REEL/620836,Data Acquisition,,,,ADC Driver
AD8138ARMZ-REEL7,Analog Devices Inc.,IC AMP SPECIAL 8-MSOP,interface-controllers,4164,13.81,"8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138ARMZ-REEL7/620837,Data Acquisition,,,,ADC Driver
AD8138ARZ,Analog Devices Inc.,IC AMP SPECIAL 8-SOIC,interface-controllers,1317,15.45,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138ARZ/620838,Data Acquisition,,,,ADC Driver
AD8138ARZ-R7,Analog Devices Inc.,IC AMP SPECIAL 8-SOIC,interface-controllers,2582,15.45,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD8138.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD8138ARZ-R7/620839,Data Acquisition,,,,ADC Driver
