MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Configuration,Current - Supply,DigiKey Programmable,Features,Function,Interface,Memory Size,Memory Type,Number of Circuits,Number of Taps,Operating Temperature,Power (Watts),Programmable Type,Resistance (Ohms),Resistance - Wiper (Ohms) (Typ),Series,Taper,Temperature Coefficient (Typ),Tolerance,Voltage - Supply
82P2281PFG,Renesas Electronics Corporation,IC TELECOM INTERFACE 80TQFP,display-drivers,138,49.37,80-LQFP,Surface Mount,Active,https://www.renesas.com/us/en/document/dst/82p2281-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/82P2281PFG/2018375,,1.15A,,,,SPI,,,1,,-40°C ~ 85°C,,,,,,,,,3V ~ 3.6V
82P2282PFG,Renesas Electronics Corporation,IC TELECOM INTERFACE 100TQFP,display-drivers,95,65.5,100-LQFP,Surface Mount,Active,https://www.renesas.com/us/en/document/dst/82p2282-datasheet,https://www.digikey.com/en/products/detail/renesas-electronics-corporation/82P2282PFG/2018378,,,,,Transceiver,SPI,,,2,,-40°C ~ 85°C,,,,,,,,,3V ~ 3.6V
AD5227BUJZ10-RL7,Analog Devices Inc.,IC DIG POT 10K TSOT-23-8,video-ics,7954,1.92,"SOT-23-8 Thin, TSOT-23-8",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD5227.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD5227BUJZ10-RL7/750887,Potentiometer,,Not Verified,,,"Up/Down (U/D, CS)",,Volatile,1,64,-40°C ~ 105°C,,,10k,100,,Linear,35ppm/°C,±20%,2.7V ~ 5.5V
AD5228BUJZ10-RL7,Analog Devices Inc.,IC DIG POT 10K TSOT-23-8,video-ics,1280,1.77,"SOT-23-8 Thin, TSOT-23-8",Surface Mount,Active,https://www.analog.com/media/en/technical-documentation/data-sheets/AD5228.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD5228BUJZ10-RL7/750889,Potentiometer,,Not Verified,,,Pushbutton,,Volatile,1,32,-40°C ~ 105°C,,,10k,100,,Linear,35ppm/°C,±20%,2.7V ~ 5.5V
AT17C65-10CC,Microchip Technology,IC SRL CONFIG EEPROM 64K 8LAP,embedded-system-design-specific,0,3.34553,8-TDFN,Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2471/AT17C%28LV%2965%2C%20128%2C%20256.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT17C65-10CC/465247,,,Not Verified,,,,64kb,,,,0°C ~ 70°C,,Serial EEPROM,,,,,,,4.75V ~ 5.25V
AT17C65-10JC,Microchip Technology,IC SERIAL CONFIG PROM 64K 20PLCC,embedded-system-design-specific,0,3.74392,20-LCC (J-Lead),Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2471/AT17C%28LV%2965%2C%20128%2C%20256.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT17C65-10JC/354772,,,Not Verified,,,,64kb,,,,0°C ~ 70°C,,Serial EEPROM,,,,,,,4.75V ~ 5.25V
AT17C65-10NC,Microchip Technology,IC EEPROM FPGA 64KB 8-SOIC,embedded-system-design-specific,0,4.1413,"8-SOIC (0.154"", 3.90mm Width)",Surface Mount,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2471/AT17C%28LV%2965%2C%20128%2C%20256.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT17C65-10NC/383040,,,Not Verified,,,,64kb,,,,0°C ~ 70°C,,Serial EEPROM,,,,,,,4.75V ~ 5.25V
AT17C65-10PC,Microchip Technology,IC SERIAL CONFIG PROM 64K 8DIP,embedded-system-design-specific,0,3.15616,"8-DIP (0.300"", 7.62mm)",Through Hole,Obsolete,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2471/AT17C%28LV%2965%2C%20128%2C%20256.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT17C65-10PC/354773,,,Not Verified,,,,64kb,,,,0°C ~ 70°C,,Serial EEPROM,,,,,,,4.75V ~ 5.25V
AT17F040A-30JC,Atmel,"CONFIG MEMORY, 4MX1, SERIAL",embedded-system-design-specific,53,8.31,20-LCC (J-Lead),Surface Mount,Obsolete,https://rocelec.widen.net/view/pdf/dnwd18rezg/ATMLS06358-1.pdf?t.download=true&u=5oefqw,https://www.digikey.com/en/products/detail/rochester-electronics-llc/AT17F040A-30JC/11546064,,,Not Verified,,,,4Mb,,,,0°C ~ 70°C,,FLASH,,,,,,,2.97V ~ 3.63V
AT17F080A-30JU,Microchip Technology,IC FLASH CONFIG 8M 20PLCC,embedded-system-design-specific,44,17.54,20-LCC (J-Lead),Surface Mount,Obsolete,https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-2823-CNFG-AT17F040A-080A-Datasheet.pdf,https://www.digikey.com/en/products/detail/microchip-technology/AT17F080A-30JU/1008592,,,Not Verified,,,,8Mb,,,,-40°C ~ 85°C,,FLASH,,,,,,,2.97V ~ 3.63V
