MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Accuracy - Highest (Lowest),Features,Grade,Operating Temperature,Output Type,Qualification,Resolution,Sensing Temperature - Local,Sensing Temperature - Remote,Sensor Type,Series,Test Condition,Voltage - Supply
10205977-00,TE Connectivity Measurement Specialties,TSD305-2C55 DIGITAL THERMOPILE S,temperature-sensors-analog-and-digital-output,1407,25.84,"TO-205AA, TO-5-4 Metal Can Variant",Through Hole,Obsolete,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/10205977-00/9841999,±1°C,,,-20°C ~ 85°C,I2C,,16 b,-20°C ~ 85°C,0°C ~ 300°C,"Digital, Local/Remote",,15°C ~ 35°C,1.68V ~ 3.6V
150108-360,"AVR Global Technologies, Inc",DS18B20 Temperature Sensor Water,temperature-sensors-analog-and-digital-output,25,12.99,-,-,Active,,https://www.digikey.com/en/products/detail/avr-global-technologies-inc/150108-360/27635346,,,,,,,,,,,*,,
165,Adafruit Industries LLC,TMP36 - ANALOG TEMPERATURE SENSO,temperature-sensors-analog-and-digital-output,370,2.75,"TO-226-3, TO-92-3 (TO-226AA)",Through Hole,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5389/165_Web.pdf,https://www.digikey.com/en/products/detail/adafruit-industries-llc/165/17039172,±2°C (±3°C),Shutdown Mode,,-40°C ~ 150°C,Analog Voltage,,10mV/°C,-40°C ~ 125°C,,"Analog, Local",,25°C (-40°C ~ 125°C),2.7V ~ 5.5V
18367,SparkFun Electronics,TEMPERATURE SENSOR - HIGH TEMPER,temperature-sensors-analog-and-digital-output,19,11.95,Probe,Free Hanging,Active,https://cdn.sparkfun.com/assets/7/5/9/5/b/DS-18367-Temperature_Sensor_-_High_Temperature__Waterproof__DS18B20_.pdf,https://www.digikey.com/en/products/detail/sparkfun-electronics/18367/15189222,±0.5°C,,,-55°C ~ 125°C,1-Wire®,,12 b,-55°C ~ 125°C,,Digital,,-10°C ~ 85°C,3V ~ 5.5V
20011957-00,TE Connectivity Measurement Specialties,TSYS03 TEMP SENSOR TDFN8 2.5X2.5,temperature-sensors-analog-and-digital-output,13905,1.27,8-WFDFN Exposed Pad,Surface Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/20011957-00/11618244,±0.5°C (±1.5°C),Standby Mode,,-40°C ~ 125°C,I2C,,16 b,-40°C ~ 125°C,,"Digital, Local",TSYS,0°C ~ 60°C (-40°C ~ 125°C),2.4V ~ 5.5V
20011957-01,TE Connectivity Measurement Specialties,TSYS03 TEMP SENSOR XDFN6 1.5X1.5,temperature-sensors-analog-and-digital-output,1582,1.48,6-XFDFN,Surface Mount,Active,,https://www.digikey.com/en/products/detail/te-connectivity-measurement-specialties/20011957-01/11618248,±0.5°C (±1.5°C),Standby Mode,,-40°C ~ 125°C,I2C,,16 b,-40°C ~ 125°C,,"Digital, Local",TSYS,0°C ~ 60°C (-40°C ~ 125°C),2.4V ~ 5.5V
2521020222501,Würth Elektronik,WSEN-TIDS WSEN-TIDS -40 TO 125C,temperature-sensors-analog-and-digital-output,2596,1.79,6-UDFN Exposed Pad,Surface Mount,Active,https://www.we-online.com/components/products/datasheet/2521020222501.pdf,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/2521020222501/11680399,±1°C,,,-40°C ~ 125°C,I2C,,16 b,-40°C ~ 125°C,,"Digital, Local",WSEN-TIDS,0°C ~ 85°C (-40°C ~ 125°C),1.5V ~ 3.6V
2864273,Phoenix Contact,SENSOR ANALOG REMOTE MODULE,temperature-sensors-analog-and-digital-output,32,348.73,Module,User Defined,Active,,https://www.digikey.com/en/products/detail/phoenix-contact/2864273/2440804,,,,-20°C ~ 65°C,Analog Current and Voltage,,,,,"Analog, Remote",,,19.2V ~ 30V
2902849,Phoenix Contact,SENSOR ANALOG REMOTE MODULE,temperature-sensors-analog-and-digital-output,125,320.76,Module,User Defined,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/532/2902849.pdf,https://www.digikey.com/en/products/detail/phoenix-contact/2902849/4357172,,,,-20°C ~ 65°C,Analog Current and Voltage,,,,-200°C ~ 850°C,"Analog, Remote",,,9.6V ~ 30V
2902851,Phoenix Contact,SENSOR ANALOG REMOTE MODULE,temperature-sensors-analog-and-digital-output,26,340.6,Module,User Defined,Active,https://www.digikey.com//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/532/2902851.pdf,https://www.digikey.com/en/products/detail/phoenix-contact/2902851/4357173,,,,-20°C ~ 65°C,Analog Current and Voltage,,,,-250°C ~ 2500°C,"Analog, Remote",,,9.6V ~ 30V
