MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Applications,"Current - Output High, Low",Grade,Logic Type,Number of Circuits,Number of Inputs,Operating Temperature,Output Type,Qualification,Schmitt Trigger Input,Series,Type,Voltage - Supply
"74AUP1G0832GM,115",Nexperia USA Inc.,IC AND/OR GATE 1-CIR 3-IN 6-XSON,interface-drivers-receivers-transceivers,5297,0.39,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1G0832.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1G0832GM-115/1300721,,"4mA, 4mA",,AND/OR Gate,1,"3 Input (2, 1)",-40°C ~ 125°C,Single-Ended,,No,74AUP,,0.8V ~ 3.6V
"74AUP1G0832GW,125",Nexperia USA Inc.,IC AND/OR GATE 1-CIR 6-TSSOP,interface-drivers-receivers-transceivers,1494,0.44,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1G0832.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1G0832GW-125/1300722,,"4mA, 4mA",,AND/OR Gate,1,"3 Input (2, 1)",-40°C ~ 125°C,Single-Ended,,No,74AUP,,0.8V ~ 3.6V
"74AUP1G3208GM,115",Nexperia USA Inc.,IC AND/OR GATE 1-CIR 3-IN 6-XSON,interface-drivers-receivers-transceivers,9268,0.43,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1G3208.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1G3208GM-115/1229980,,"4mA, 4mA",,AND/OR Gate,1,"3 Input (2, 1)",-40°C ~ 125°C,Single-Ended,,No,74AUP,,0.8V ~ 3.6V
"74AUP1G58GW,125",Nexperia USA Inc.,IC MF CFG 1-CIR 3-IN 6-TSSOP,interface-drivers-receivers-transceivers,1950,0.19,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1G58.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1G58GW-125/1022843,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,No,74AUP,,0.8V ~ 3.6V
"74AUP1G97GM,115",Nexperia USA Inc.,IC MF CFG 1-CIR 3-IN 6-XSON,interface-drivers-receivers-transceivers,4730,0.23,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1G97.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1G97GM-115/1300769,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,Yes,74AUP,,0.8V ~ 3.6V
"74AUP1G97GM,132",Nexperia USA Inc.,IC MF CFG 1-CIR 3-IN 6-XSON,interface-drivers-receivers-transceivers,7250,0.23,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1G97.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1G97GM-132/1300770,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,Yes,74AUP,,0.8V ~ 3.6V
"74AUP1G97GW,125",Nexperia USA Inc.,IC MF CFG 1-CIR 3-IN 6-TSSOP,interface-drivers-receivers-transceivers,3222,0.29,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1G97.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1G97GW-125/1300771,,"4mA, 4mA",,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,,Yes,74AUP,,0.8V ~ 3.6V
"74AUP1T58GW,125",Nexperia USA Inc.,IC TRANSLATOR UNIDIR 6TSSOP,interface-drivers-receivers-transceivers,5920,0.24,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1T58.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1T58GW-125/1965992,,,,,1,,-40°C ~ 125°C,Single-Ended,,,74AUP,,
"74AUP1T97GM,115",Nexperia USA Inc.,IC TRANSLTR UNIDIRECTIONAL 6XSON,interface-drivers-receivers-transceivers,10000,0.3,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1T97.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1T97GM-115/1965994,,,,,1,,-40°C ~ 125°C,Single-Ended,,,74AUP,,
74AUP1T97GW-Q100H,Nexperia USA Inc.,IC MF CFG 1-CIR 3-IN 6-TSSOP,interface-drivers-receivers-transceivers,5969,0.32,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP1T97_Q100.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP1T97GW-Q100H/15778010,,"4mA, 4mA",Automotive,Configurable Multiple Function,1,3,-40°C ~ 125°C,Single-Ended,AEC-Q100,Yes,74AUP,,2.3V ~ 3.6V
74AUP2G3404FW3-7,Diodes Incorporated,IC BUF/INV 2-CIR 2-IN 6DFN,interface-drivers-receivers-transceivers,3347,0.18,6-XFDFN,Surface Mount,Active,https://www.diodes.com/assets/Datasheets/74AUP2G3404.pdf,https://www.digikey.com/en/products/detail/diodes-incorporated/74AUP2G3404FW3-7/4251611,,"4mA, 4mA",,Buffer/Inverter,2,"2 Input (1, 1)",-40°C ~ 125°C,Single-Ended,,No,74AUP,,0.8V ~ 3.6V
"74AUP2G3404GN,125",Nexperia USA Inc.,IC BUF/INV 2-CIR 2-IN 6XSON,interface-drivers-receivers-transceivers,9695,0.6,6-XFDFN,Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP2G3404.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP2G3404GN-125/4020680,,"4mA, 4mA",,Buffer/Inverter,2,"2 Input (1, 1)",-40°C ~ 125°C,Single-Ended,,No,74AUP,,0.8V ~ 3.6V
"74AUP2G3404GW,125",Nexperia USA Inc.,IC BUF/INV 2-CIR 2-IN 6TSSOP,interface-drivers-receivers-transceivers,6131,0.25,"6-TSSOP, SC-88, SOT-363",Surface Mount,Active,https://assets.nexperia.com/documents/data-sheet/74AUP2G3404.pdf,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74AUP2G3404GW-125/4020682,,"4mA, 4mA",,Buffer/Inverter,2,"2 Input (1, 1)",-40°C ~ 125°C,Single-Ended,,No,74AUP,,0.8V ~ 3.6V
