MPN,Manufacturer,Description,Subcategory,Stock,Unit Price,Package,Mounting Type,Status,Datasheet URL,Product URL,Function,Number of Bits/Stages
5962-8980901EA,Analog Devices Inc.,IC MULT/DIVIDER 16-CDIP,interface-specialized,0,0.0,"16-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD539.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/5962-8980901EA/3904405,Analog Multiplier/Divider,2-Quadrant
AD532JDZ,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD532.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD532JDZ/1246033,Analog Multiplier/Divider,4-Quadrant
AD532KHZ,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD532.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD532KHZ/1551335,Analog Multiplier/Divider,4-Quadrant
AD532SD/883B,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD532.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD532SD-883B/3904490,Analog Multiplier/Divider,4-Quadrant
AD532SH,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD532.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD532SH/617468,Analog Multiplier/Divider,4-Quadrant
AD532SH/883B,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD532.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD532SH-883B/3904491,Analog Multiplier/Divider,4-Quadrant
AD534KDZ,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD534KDZ/1873677,Analog Multiplier/Divider,4-Quadrant
AD534KHZ,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD534KHZ/1551783,Analog Multiplier/Divider,4-Quadrant
AD534LD,Analog Devices Inc.,IC MULT/DIVIDER 14-CDIP,interface-specialized,0,0.0,"14-CDIP (0.300"", 7.62mm)",,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD534LD/617509,Analog Multiplier/Divider,4-Quadrant
AD534LHZ,Analog Devices Inc.,IC MULT/DIVIDER TO-100-10,interface-specialized,0,0.0,TO-100-10 Metal Can,,Discontinued at DigiKey,https://www.analog.com/media/en/technical-documentation/data-sheets/AD534.pdf,https://www.digikey.com/en/products/detail/analog-devices-inc/AD534LHZ/1551336,Analog Multiplier/Divider,4-Quadrant
